{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-13-11-09-12	Epoch 1	Train Loss = 0.24182, Val Loss = 0.14780
2026-01-13-11-11-17	Epoch 2	Train Loss = 0.14649, Val Loss = 0.14629
2026-01-13-11-13-23	Epoch 3	Train Loss = 0.13048, Val Loss = 0.14550
2026-01-13-11-15-29	Epoch 4	Train Loss = 0.12457, Val Loss = 0.14195
2026-01-13-11-17-35	Epoch 5	Train Loss = 0.12164, Val Loss = 0.13618
2026-01-13-11-19-41	Epoch 6	Train Loss = 0.11201, Val Loss = 0.13063
2026-01-13-11-21-47	Epoch 7	Train Loss = 0.10956, Val Loss = 0.13186
2026-01-13-11-23-52	Epoch 8	Train Loss = 0.10734, Val Loss = 0.12792
2026-01-13-11-25-58	Epoch 9	Train Loss = 0.10637, Val Loss = 0.13321
2026-01-13-11-28-04	Epoch 10	Train Loss = 0.10528, Val Loss = 0.12655
2026-01-13-11-30-10	Epoch 11	Train Loss = 0.10445, Val Loss = 0.12479
2026-01-13-11-32-16	Epoch 12	Train Loss = 0.10316, Val Loss = 0.12364
2026-01-13-11-34-21	Epoch 13	Train Loss = 0.10269, Val Loss = 0.12290
2026-01-13-11-36-27	Epoch 14	Train Loss = 0.10182, Val Loss = 0.12331
2026-01-13-11-38-33	Epoch 15	Train Loss = 0.10209, Val Loss = 0.12220
2026-01-13-11-40-38	Epoch 16	Train Loss = 0.10071, Val Loss = 0.12429
2026-01-13-11-42-44	Epoch 17	Train Loss = 0.10056, Val Loss = 0.12234
2026-01-13-11-44-50	Epoch 18	Train Loss = 0.09965, Val Loss = 0.12277
2026-01-13-11-46-56	Epoch 19	Train Loss = 0.09960, Val Loss = 0.12212
2026-01-13-11-49-02	Epoch 20	Train Loss = 0.09892, Val Loss = 0.12070
2026-01-13-11-51-07	Epoch 21	Train Loss = 0.09887, Val Loss = 0.11972
2026-01-13-11-53-13	Epoch 22	Train Loss = 0.09874, Val Loss = 0.12262
2026-01-13-11-55-19	Epoch 23	Train Loss = 0.09829, Val Loss = 0.11858
2026-01-13-11-57-25	Epoch 24	Train Loss = 0.09758, Val Loss = 0.11903
2026-01-13-11-59-30	Epoch 25	Train Loss = 0.09830, Val Loss = 0.11933
2026-01-13-12-01-36	Epoch 26	Train Loss = 0.09735, Val Loss = 0.11861
2026-01-13-12-03-42	Epoch 27	Train Loss = 0.09747, Val Loss = 0.11920
2026-01-13-12-05-48	Epoch 28	Train Loss = 0.09674, Val Loss = 0.11843
2026-01-13-12-07-53	Epoch 29	Train Loss = 0.09683, Val Loss = 0.11885
2026-01-13-12-09-59	Epoch 30	Train Loss = 0.09712, Val Loss = 0.12186
2026-01-13-12-12-05	Epoch 31	Train Loss = 0.09716, Val Loss = 0.11820
2026-01-13-12-14-11	Epoch 32	Train Loss = 0.09662, Val Loss = 0.11934
2026-01-13-12-16-16	Epoch 33	Train Loss = 0.09638, Val Loss = 0.11809
2026-01-13-12-18-22	Epoch 34	Train Loss = 0.09618, Val Loss = 0.11797
2026-01-13-12-20-28	Epoch 35	Train Loss = 0.09670, Val Loss = 0.11817
2026-01-13-12-22-33	Epoch 36	Train Loss = 0.09605, Val Loss = 0.11802
