{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 1, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0002, 'dropout': 0.1, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-30-14-32-19	Epoch 1	Train Loss = 129.08730, Val Loss = 132.02517
2025-12-30-14-33-04	Epoch 2	Train Loss = 109.78245, Val Loss = 90.49209
2025-12-30-14-33-49	Epoch 3	Train Loss = 71.16781, Val Loss = 58.14844
2025-12-30-14-34-35	Epoch 4	Train Loss = 42.76857, Val Loss = 40.36521
2025-12-30-14-35-20	Epoch 5	Train Loss = 44.28869, Val Loss = 34.21107
2025-12-30-14-36-05	Epoch 6	Train Loss = 34.07382, Val Loss = 38.69798
2025-12-30-14-36-50	Epoch 7	Train Loss = 54.12949, Val Loss = 43.86610
2025-12-30-14-37-36	Epoch 8	Train Loss = 35.17284, Val Loss = 30.05823
2025-12-30-14-38-21	Epoch 9	Train Loss = 33.86492, Val Loss = 37.65805
2025-12-30-14-39-06	Epoch 10	Train Loss = 32.12003, Val Loss = 34.57626
2025-12-30-14-39-51	Epoch 11	Train Loss = 31.35628, Val Loss = 34.54198
2025-12-30-14-40-36	Epoch 12	Train Loss = 35.27448, Val Loss = 49.17649
2025-12-30-14-41-22	Epoch 13	Train Loss = 28.60666, Val Loss = 28.27939
2025-12-30-14-42-07	Epoch 14	Train Loss = 26.53199, Val Loss = 29.62340
2025-12-30-14-42-52	Epoch 15	Train Loss = 27.98740, Val Loss = 33.07158
2025-12-30-14-43-37	Epoch 16	Train Loss = 27.51907, Val Loss = 29.75537
2025-12-30-14-44-22	Epoch 17	Train Loss = 29.54539, Val Loss = 30.44109
2025-12-30-14-45-07	Epoch 18	Train Loss = 30.59618, Val Loss = 39.15589
2025-12-30-14-45-52	Epoch 19	Train Loss = 30.35455, Val Loss = 28.71760
2025-12-30-14-46-38	Epoch 20	Train Loss = 25.90059, Val Loss = 26.52660
2025-12-30-14-47-23	Epoch 21	Train Loss = 25.67648, Val Loss = 31.23619
2025-12-30-14-48-09	Epoch 22	Train Loss = 29.26241, Val Loss = 29.18375
2025-12-30-14-48-55	Epoch 23	Train Loss = 26.62540, Val Loss = 30.28662
2025-12-30-14-49-40	Epoch 24	Train Loss = 24.88661, Val Loss = 26.95592
2025-12-30-14-50-27	Epoch 25	Train Loss = 24.63918, Val Loss = 27.34841
2025-12-30-14-51-13	Epoch 26	Train Loss = 24.45194, Val Loss = 28.93609
2025-12-30-14-51-58	Epoch 27	Train Loss = 24.39301, Val Loss = 26.50141
2025-12-30-14-52-44	Epoch 28	Train Loss = 24.45632, Val Loss = 25.82774
2025-12-30-14-53-29	Epoch 29	Train Loss = 27.58150, Val Loss = 30.21742
2025-12-30-14-54-14	Epoch 30	Train Loss = 27.53632, Val Loss = 26.98843
2025-12-30-14-54-59	Epoch 31	Train Loss = 27.60282, Val Loss = 26.18460
2025-12-30-14-55-45	Epoch 32	Train Loss = 24.68763, Val Loss = 26.65300
2025-12-30-14-56-30	Epoch 33	Train Loss = 23.21095, Val Loss = 25.75166
2025-12-30-14-57-15	Epoch 34	Train Loss = 23.08358, Val Loss = 28.21656
2025-12-30-14-58-00	Epoch 35	Train Loss = 24.05634, Val Loss = 26.76894
2025-12-30-14-58-45	Epoch 36	Train Loss = 26.69291, Val Loss = 33.71604
2025-12-30-14-59-30	Epoch 37	Train Loss = 24.18180, Val Loss = 27.99032
2025-12-30-15-00-15	Epoch 38	Train Loss = 24.95215, Val Loss = 24.75852
2025-12-30-15-01-00	Epoch 39	Train Loss = 22.37700, Val Loss = 26.20664
2025-12-30-15-01-46	Epoch 40	Train Loss = 22.26592, Val Loss = 26.33340
2025-12-30-15-02-31	Epoch 41	Train Loss = 24.31405, Val Loss = 24.53607
2025-12-30-15-03-16	Epoch 42	Train Loss = 22.01929, Val Loss = 26.15277
2025-12-30-15-04-01	Epoch 43	Train Loss = 21.89676, Val Loss = 24.61135
2025-12-30-15-04-46	Epoch 44	Train Loss = 23.03018, Val Loss = 25.52915
2025-12-30-15-05-31	Epoch 45	Train Loss = 25.29193, Val Loss = 25.49264
2025-12-30-15-06-17	Epoch 46	Train Loss = 25.36558, Val Loss = 25.61940
2025-12-30-15-07-02	Epoch 47	Train Loss = 23.97134, Val Loss = 26.43609
2025-12-30-15-07-47	Epoch 48	Train Loss = 21.52659, Val Loss = 25.07567
2025-12-30-15-08-32	Epoch 49	Train Loss = 21.28033, Val Loss = 25.42212
2025-12-30-15-09-17	Epoch 50	Train Loss = 21.26134, Val Loss = 23.70363
2025-12-30-15-10-02	Epoch 51	Train Loss = 28.56489, Val Loss = 25.99956
