{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-09-15-09-52	Epoch 1	Train Loss = 0.24182, Val Loss = 0.14780
2026-01-09-15-11-58	Epoch 2	Train Loss = 0.14649, Val Loss = 0.14629
2026-01-09-15-14-04	Epoch 3	Train Loss = 0.13048, Val Loss = 0.14550
2026-01-09-15-16-10	Epoch 4	Train Loss = 0.12457, Val Loss = 0.14195
2026-01-09-15-18-16	Epoch 5	Train Loss = 0.12164, Val Loss = 0.13618
2026-01-09-15-20-22	Epoch 6	Train Loss = 0.11201, Val Loss = 0.13063
2026-01-09-15-22-28	Epoch 7	Train Loss = 0.10956, Val Loss = 0.13186
2026-01-09-15-24-34	Epoch 8	Train Loss = 0.10734, Val Loss = 0.12792
2026-01-09-15-26-40	Epoch 9	Train Loss = 0.10637, Val Loss = 0.13321
2026-01-09-15-28-46	Epoch 10	Train Loss = 0.10528, Val Loss = 0.12655
2026-01-09-15-30-52	Epoch 11	Train Loss = 0.10445, Val Loss = 0.12479
2026-01-09-15-32-58	Epoch 12	Train Loss = 0.10316, Val Loss = 0.12364
2026-01-09-15-35-04	Epoch 13	Train Loss = 0.10269, Val Loss = 0.12290
2026-01-09-15-37-10	Epoch 14	Train Loss = 0.10182, Val Loss = 0.12331
2026-01-09-15-39-16	Epoch 15	Train Loss = 0.10209, Val Loss = 0.12220
2026-01-09-15-41-22	Epoch 16	Train Loss = 0.10071, Val Loss = 0.12429
2026-01-09-15-43-27	Epoch 17	Train Loss = 0.10056, Val Loss = 0.12234
2026-01-09-15-45-33	Epoch 18	Train Loss = 0.09965, Val Loss = 0.12277
2026-01-09-15-47-39	Epoch 19	Train Loss = 0.09960, Val Loss = 0.12212
2026-01-09-15-49-45	Epoch 20	Train Loss = 0.09892, Val Loss = 0.12070
2026-01-09-15-51-51	Epoch 21	Train Loss = 0.09887, Val Loss = 0.11972
2026-01-09-15-53-57	Epoch 22	Train Loss = 0.09874, Val Loss = 0.12262
2026-01-09-15-56-03	Epoch 23	Train Loss = 0.09829, Val Loss = 0.11858
2026-01-09-15-58-09	Epoch 24	Train Loss = 0.09758, Val Loss = 0.11903
2026-01-09-16-00-15	Epoch 25	Train Loss = 0.09830, Val Loss = 0.11933
2026-01-09-16-02-21	Epoch 26	Train Loss = 0.09735, Val Loss = 0.11861
2026-01-09-16-04-27	Epoch 27	Train Loss = 0.09747, Val Loss = 0.11920
2026-01-09-16-06-33	Epoch 28	Train Loss = 0.09674, Val Loss = 0.11843
2026-01-09-16-08-39	Epoch 29	Train Loss = 0.09683, Val Loss = 0.11885
2026-01-09-16-10-45	Epoch 30	Train Loss = 0.09712, Val Loss = 0.12186
2026-01-09-16-12-51	Epoch 31	Train Loss = 0.09716, Val Loss = 0.11820
2026-01-09-16-14-57	Epoch 32	Train Loss = 0.09662, Val Loss = 0.11934
2026-01-09-16-17-03	Epoch 33	Train Loss = 0.09638, Val Loss = 0.11809
2026-01-09-16-19-09	Epoch 34	Train Loss = 0.09618, Val Loss = 0.11797
2026-01-09-16-21-15	Epoch 35	Train Loss = 0.09670, Val Loss = 0.11817
2026-01-09-16-23-21	Epoch 36	Train Loss = 0.09605, Val Loss = 0.11802
2026-01-09-16-25-26	Epoch 37	Train Loss = 0.09542, Val Loss = 0.11785
2026-01-09-16-27-32	Epoch 38	Train Loss = 0.09524, Val Loss = 0.11659
2026-01-09-16-29-38	Epoch 39	Train Loss = 0.09536, Val Loss = 0.11761
2026-01-09-16-31-44	Epoch 40	Train Loss = 0.09566, Val Loss = 0.11891
[Curriculum Info] Epoch 40: Resetting Early Stopping...
2026-01-09-16-33-50	Epoch 41	Train Loss = 0.12364, Val Loss = 0.12814
2026-01-09-16-35-56	Epoch 42	Train Loss = 0.10458, Val Loss = 0.12561
2026-01-09-16-38-02	Epoch 43	Train Loss = 0.10267, Val Loss = 0.12561
2026-01-09-16-40-07	Epoch 44	Train Loss = 0.10199, Val Loss = 0.12570
2026-01-09-16-42-13	Epoch 45	Train Loss = 0.10218, Val Loss = 0.12383
2026-01-09-16-44-19	Epoch 46	Train Loss = 0.10115, Val Loss = 0.12351
2026-01-09-16-46-25	Epoch 47	Train Loss = 0.10058, Val Loss = 0.12367
2026-01-09-16-48-31	Epoch 48	Train Loss = 0.10032, Val Loss = 0.12443
2026-01-09-16-50-36	Epoch 49	Train Loss = 0.09978, Val Loss = 0.12449
2026-01-09-16-52-42	Epoch 50	Train Loss = 0.10008, Val Loss = 0.12368
2026-01-09-16-54-48	Epoch 51	Train Loss = 0.09955, Val Loss = 0.12309
2026-01-09-16-56-54	Epoch 52	Train Loss = 0.09931, Val Loss = 0.12367
2026-01-09-16-59-00	Epoch 53	Train Loss = 0.09910, Val Loss = 0.12289
2026-01-09-17-01-06	Epoch 54	Train Loss = 0.09919, Val Loss = 0.12296
2026-01-09-17-03-12	Epoch 55	Train Loss = 0.09844, Val Loss = 0.12150
