{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 1, 'K': 8, 'd': 16, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': True, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.1, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-25-21-26-49	Epoch 1	Train Loss = 136.95563, Val Loss = 112.34983
2025-12-25-21-27-14	Epoch 2	Train Loss = 83.04704, Val Loss = 52.57962
2025-12-25-21-27-39	Epoch 3	Train Loss = 53.14462, Val Loss = 67.95329
2025-12-25-21-28-05	Epoch 4	Train Loss = 46.56406, Val Loss = 39.20330
2025-12-25-21-28-30	Epoch 5	Train Loss = 37.60391, Val Loss = 38.85512
2025-12-25-21-28-56	Epoch 6	Train Loss = 36.29322, Val Loss = 34.18597
2025-12-25-21-29-21	Epoch 7	Train Loss = 34.06407, Val Loss = 32.18411
2025-12-25-21-29-47	Epoch 8	Train Loss = 29.90493, Val Loss = 31.10301
2025-12-25-21-30-12	Epoch 9	Train Loss = 28.35833, Val Loss = 27.16671
2025-12-25-21-30-37	Epoch 10	Train Loss = 32.17358, Val Loss = 41.49849
2025-12-25-21-31-03	Epoch 11	Train Loss = 34.02808, Val Loss = 34.34554
2025-12-25-21-31-28	Epoch 12	Train Loss = 29.15659, Val Loss = 35.39208
2025-12-25-21-31-53	Epoch 13	Train Loss = 28.32853, Val Loss = 29.40610
2025-12-25-21-32-19	Epoch 14	Train Loss = 27.13269, Val Loss = 31.82036
2025-12-25-21-32-44	Epoch 15	Train Loss = 31.08026, Val Loss = 32.33522
2025-12-25-21-33-09	Epoch 16	Train Loss = 26.04076, Val Loss = 27.54171
2025-12-25-21-33-35	Epoch 17	Train Loss = 27.52443, Val Loss = 31.46659
2025-12-25-21-34-00	Epoch 18	Train Loss = 25.14702, Val Loss = 27.55008
2025-12-25-21-34-25	Epoch 19	Train Loss = 24.52197, Val Loss = 25.59608
2025-12-25-21-34-50	Epoch 20	Train Loss = 26.22176, Val Loss = 45.12238
2025-12-25-21-35-16	Epoch 21	Train Loss = 25.98507, Val Loss = 26.94038
2025-12-25-21-35-41	Epoch 22	Train Loss = 23.33706, Val Loss = 29.48249
2025-12-25-21-36-06	Epoch 23	Train Loss = 24.26984, Val Loss = 27.13883
2025-12-25-21-36-31	Epoch 24	Train Loss = 23.97501, Val Loss = 25.80609
2025-12-25-21-36-57	Epoch 25	Train Loss = 23.38156, Val Loss = 24.19693
2025-12-25-21-37-22	Epoch 26	Train Loss = 23.87358, Val Loss = 28.96453
2025-12-25-21-37-47	Epoch 27	Train Loss = 25.12915, Val Loss = 24.51617
2025-12-25-21-38-12	Epoch 28	Train Loss = 23.07034, Val Loss = 23.93471
2025-12-25-21-38-37	Epoch 29	Train Loss = 24.15586, Val Loss = 25.74646
2025-12-25-21-39-03	Epoch 30	Train Loss = 23.68228, Val Loss = 25.46455
2025-12-25-21-39-28	Epoch 31	Train Loss = 24.09359, Val Loss = 28.17799
2025-12-25-21-39-53	Epoch 32	Train Loss = 24.90036, Val Loss = 29.67473
2025-12-25-21-40-18	Epoch 33	Train Loss = 23.95111, Val Loss = 26.88853
2025-12-25-21-40-43	Epoch 34	Train Loss = 22.87541, Val Loss = 22.97179
2025-12-25-21-41-08	Epoch 35	Train Loss = 20.93564, Val Loss = 33.21642
2025-12-25-21-41-34	Epoch 36	Train Loss = 23.37978, Val Loss = 26.70248
2025-12-25-21-41-59	Epoch 37	Train Loss = 24.85779, Val Loss = 23.26082
2025-12-25-21-42-24	Epoch 38	Train Loss = 20.71155, Val Loss = 24.34868
2025-12-25-21-42-49	Epoch 39	Train Loss = 20.58916, Val Loss = 26.59216
2025-12-25-21-43-14	Epoch 40	Train Loss = 22.88013, Val Loss = 24.72783
2025-12-25-21-43-40	Epoch 41	Train Loss = 23.36071, Val Loss = 26.01974
2025-12-25-21-44-05	Epoch 42	Train Loss = 20.76741, Val Loss = 24.15872
2025-12-25-21-44-30	Epoch 43	Train Loss = 22.93748, Val Loss = 29.67845
2025-12-25-21-44-55	Epoch 44	Train Loss = 21.62514, Val Loss = 22.98964
2025-12-25-21-45-20	Epoch 45	Train Loss = 22.15996, Val Loss = 24.36498
2025-12-25-21-45-45	Epoch 46	Train Loss = 21.49982, Val Loss = 25.72978
2025-12-25-21-46-11	Epoch 47	Train Loss = 22.65740, Val Loss = 25.70059
2025-12-25-21-46-36	Epoch 48	Train Loss = 21.60176, Val Loss = 28.01466
2025-12-25-21-47-01	Epoch 49	Train Loss = 22.89664, Val Loss = 28.24359
2025-12-25-21-47-26	Epoch 50	Train Loss = 23.37970, Val Loss = 23.80102
2025-12-25-21-47-51	Epoch 51	Train Loss = 21.76549, Val Loss = 24.06051
2025-12-25-21-48-17	Epoch 52	Train Loss = 20.70006, Val Loss = 23.11668
2025-12-25-21-48-42	Epoch 53	Train Loss = 19.94140, Val Loss = 25.39236
2025-12-25-21-49-07	Epoch 54	Train Loss = 21.77878, Val Loss = 22.34340
2025-12-25-21-49-32	Epoch 55	Train Loss = 21.17704, Val Loss = 23.41060
2025-12-25-21-49-57	Epoch 56	Train Loss = 19.61229, Val Loss = 23.01974
2025-12-25-21-50-23	Epoch 57	Train Loss = 21.08860, Val Loss = 23.34761
2025-12-25-21-50-48	Epoch 58	Train Loss = 21.49359, Val Loss = 22.39609
2025-12-25-21-51-13	Epoch 59	Train Loss = 20.63774, Val Loss = 22.56787
2025-12-25-21-51-38	Epoch 60	Train Loss = 19.09832, Val Loss = 21.97662
2025-12-25-21-52-04	Epoch 61	Train Loss = 19.39647, Val Loss = 22.65317
2025-12-25-21-52-29	Epoch 62	Train Loss = 20.47649, Val Loss = 22.54338
2025-12-25-21-52-54	Epoch 63	Train Loss = 19.95911, Val Loss = 22.14843
2025-12-25-21-53-19	Epoch 64	Train Loss = 20.33295, Val Loss = 21.71934
2025-12-25-21-53-44	Epoch 65	Train Loss = 20.14185, Val Loss = 26.34140
2025-12-25-21-54-10	Epoch 66	Train Loss = 19.72162, Val Loss = 21.54489
2025-12-25-21-54-35	Epoch 67	Train Loss = 20.18226, Val Loss = 23.11467
2025-12-25-21-55-00	Epoch 68	Train Loss = 19.53282, Val Loss = 23.63439
2025-12-25-21-55-25	Epoch 69	Train Loss = 20.97376, Val Loss = 22.13136
