{'gpu': {'device_ids': [2], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': True, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-09-15-14-55	Epoch 1	Train Loss = 0.24080, Val Loss = 0.17058
2026-01-09-15-17-02	Epoch 2	Train Loss = 0.12992, Val Loss = 0.14769
2026-01-09-15-19-08	Epoch 3	Train Loss = 0.12761, Val Loss = 0.14645
2026-01-09-15-21-14	Epoch 4	Train Loss = 0.12719, Val Loss = 0.14951
2026-01-09-15-23-21	Epoch 5	Train Loss = 0.12566, Val Loss = 0.14434
2026-01-09-15-25-28	Epoch 6	Train Loss = 0.12422, Val Loss = 0.14319
2026-01-09-15-27-34	Epoch 7	Train Loss = 0.12264, Val Loss = 0.14019
2026-01-09-15-29-41	Epoch 8	Train Loss = 0.11878, Val Loss = 0.13654
2026-01-09-15-31-47	Epoch 9	Train Loss = 0.11615, Val Loss = 0.13511
2026-01-09-15-33-54	Epoch 10	Train Loss = 0.11365, Val Loss = 0.13200
2026-01-09-15-36-01	Epoch 11	Train Loss = 0.10883, Val Loss = 0.12783
2026-01-09-15-38-07	Epoch 12	Train Loss = 0.10669, Val Loss = 0.12827
2026-01-09-15-40-14	Epoch 13	Train Loss = 0.10542, Val Loss = 0.12626
2026-01-09-15-42-20	Epoch 14	Train Loss = 0.10390, Val Loss = 0.12426
2026-01-09-15-44-27	Epoch 15	Train Loss = 0.10397, Val Loss = 0.12372
2026-01-09-15-46-33	Epoch 16	Train Loss = 0.10286, Val Loss = 0.12367
2026-01-09-15-48-40	Epoch 17	Train Loss = 0.10182, Val Loss = 0.12284
2026-01-09-15-50-47	Epoch 18	Train Loss = 0.10162, Val Loss = 0.12212
2026-01-09-15-52-53	Epoch 19	Train Loss = 0.10138, Val Loss = 0.12182
2026-01-09-15-55-00	Epoch 20	Train Loss = 0.10068, Val Loss = 0.12288
2026-01-09-15-57-06	Epoch 21	Train Loss = 0.10004, Val Loss = 0.12160
2026-01-09-15-59-13	Epoch 22	Train Loss = 0.10012, Val Loss = 0.12261
2026-01-09-16-01-19	Epoch 23	Train Loss = 0.10044, Val Loss = 0.12215
2026-01-09-16-03-26	Epoch 24	Train Loss = 0.09901, Val Loss = 0.11959
2026-01-09-16-05-33	Epoch 25	Train Loss = 0.09893, Val Loss = 0.12148
2026-01-09-16-07-39	Epoch 26	Train Loss = 0.09895, Val Loss = 0.12045
2026-01-09-16-09-46	Epoch 27	Train Loss = 0.09814, Val Loss = 0.11888
2026-01-09-16-11-52	Epoch 28	Train Loss = 0.09757, Val Loss = 0.11892
2026-01-09-16-13-59	Epoch 29	Train Loss = 0.09732, Val Loss = 0.11994
2026-01-09-16-16-06	Epoch 30	Train Loss = 0.09663, Val Loss = 0.11824
2026-01-09-16-18-12	Epoch 31	Train Loss = 0.09626, Val Loss = 0.11729
2026-01-09-16-20-19	Epoch 32	Train Loss = 0.09580, Val Loss = 0.11752
2026-01-09-16-22-25	Epoch 33	Train Loss = 0.09575, Val Loss = 0.11874
2026-01-09-16-24-32	Epoch 34	Train Loss = 0.09541, Val Loss = 0.11703
2026-01-09-16-26-38	Epoch 35	Train Loss = 0.09528, Val Loss = 0.11635
2026-01-09-16-28-45	Epoch 36	Train Loss = 0.09455, Val Loss = 0.11731
2026-01-09-16-30-51	Epoch 37	Train Loss = 0.09426, Val Loss = 0.11714
2026-01-09-16-32-57	Epoch 38	Train Loss = 0.09400, Val Loss = 0.11568
2026-01-09-16-35-04	Epoch 39	Train Loss = 0.09389, Val Loss = 0.11643
2026-01-09-16-37-10	Epoch 40	Train Loss = 0.09509, Val Loss = 0.11659
2026-01-09-16-39-17	Epoch 41	Train Loss = 0.16146, Val Loss = 0.14086
2026-01-09-16-41-23	Epoch 42	Train Loss = 0.11384, Val Loss = 0.13217
2026-01-09-16-43-30	Epoch 43	Train Loss = 0.10822, Val Loss = 0.12718
2026-01-09-16-45-36	Epoch 44	Train Loss = 0.10354, Val Loss = 0.12528
2026-01-09-16-47-42	Epoch 45	Train Loss = 0.10198, Val Loss = 0.12692
2026-01-09-16-49-49	Epoch 46	Train Loss = 0.10058, Val Loss = 0.12257
2026-01-09-16-51-55	Epoch 47	Train Loss = 0.09954, Val Loss = 0.12191
2026-01-09-16-54-02	Epoch 48	Train Loss = 0.09946, Val Loss = 0.12155
2026-01-09-16-56-08	Epoch 49	Train Loss = 0.09839, Val Loss = 0.12127
2026-01-09-16-58-15	Epoch 50	Train Loss = 0.09796, Val Loss = 0.12102
2026-01-09-17-00-21	Epoch 51	Train Loss = 0.09763, Val Loss = 0.11945
2026-01-09-17-02-28	Epoch 52	Train Loss = 0.09688, Val Loss = 0.12067
2026-01-09-17-04-34	Epoch 53	Train Loss = 0.09639, Val Loss = 0.12229
2026-01-09-17-06-41	Epoch 54	Train Loss = 0.09638, Val Loss = 0.11962
2026-01-09-17-08-47	Epoch 55	Train Loss = 0.09545, Val Loss = 0.11983
2026-01-09-17-10-54	Epoch 56	Train Loss = 0.09542, Val Loss = 0.12044
2026-01-09-17-13-00	Epoch 57	Train Loss = 0.09495, Val Loss = 0.11989
2026-01-09-17-15-06	Epoch 58	Train Loss = 0.09444, Val Loss = 0.11857
2026-01-09-17-17-13	Epoch 59	Train Loss = 0.09445, Val Loss = 0.11809
2026-01-09-17-19-20	Epoch 60	Train Loss = 0.09421, Val Loss = 0.11793
2026-01-09-17-21-26	Epoch 61	Train Loss = 0.09347, Val Loss = 0.11925
2026-01-09-17-23-33	Epoch 62	Train Loss = 0.09322, Val Loss = 0.11749
2026-01-09-17-25-39	Epoch 63	Train Loss = 0.09283, Val Loss = 0.11671
2026-01-09-17-27-45	Epoch 64	Train Loss = 0.09274, Val Loss = 0.11701
2026-01-09-17-29-52	Epoch 65	Train Loss = 0.09278, Val Loss = 0.11795
2026-01-09-17-31-58	Epoch 66	Train Loss = 0.09244, Val Loss = 0.11905
2026-01-09-17-34-05	Epoch 67	Train Loss = 0.09180, Val Loss = 0.11732
2026-01-09-17-36-11	Epoch 68	Train Loss = 0.09120, Val Loss = 0.11869
2026-01-09-17-38-17	Epoch 69	Train Loss = 0.09158, Val Loss = 0.11828
2026-01-09-17-40-24	Epoch 70	Train Loss = 0.09089, Val Loss = 0.11716
2026-01-09-17-42-31	Epoch 71	Train Loss = 0.11415, Val Loss = 0.13252
2026-01-09-17-44-37	Epoch 72	Train Loss = 0.10209, Val Loss = 0.12612
2026-01-09-17-46-44	Epoch 73	Train Loss = 0.09996, Val Loss = 0.12471
2026-01-09-17-48-50	Epoch 74	Train Loss = 0.09894, Val Loss = 0.12734
2026-01-09-17-50-57	Epoch 75	Train Loss = 0.09815, Val Loss = 0.12574
2026-01-09-17-53-03	Epoch 76	Train Loss = 0.09771, Val Loss = 0.12613
2026-01-09-17-55-10	Epoch 77	Train Loss = 0.09807, Val Loss = 0.12646
2026-01-09-17-57-16	Epoch 78	Train Loss = 0.09648, Val Loss = 0.12359
2026-01-09-17-59-23	Epoch 79	Train Loss = 0.09627, Val Loss = 0.12411
2026-01-09-18-01-30	Epoch 80	Train Loss = 0.09563, Val Loss = 0.12321
2026-01-09-18-03-36	Epoch 81	Train Loss = 0.09602, Val Loss = 0.12450
2026-01-09-18-05-43	Epoch 82	Train Loss = 0.09471, Val Loss = 0.12398
2026-01-09-18-07-50	Epoch 83	Train Loss = 0.09525, Val Loss = 0.12424
2026-01-09-18-09-56	Epoch 84	Train Loss = 0.09489, Val Loss = 0.12326
2026-01-09-18-12-03	Epoch 85	Train Loss = 0.09448, Val Loss = 0.12260
2026-01-09-18-14-09	Epoch 86	Train Loss = 0.09411, Val Loss = 0.12364
2026-01-09-18-16-16	Epoch 87	Train Loss = 0.09407, Val Loss = 0.12192
2026-01-09-18-18-23	Epoch 88	Train Loss = 0.09401, Val Loss = 0.12319
2026-01-09-18-20-29	Epoch 89	Train Loss = 0.09396, Val Loss = 0.12298
2026-01-09-18-22-36	Epoch 90	Train Loss = 0.09362, Val Loss = 0.12342
2026-01-09-18-24-42	Epoch 91	Train Loss = 0.09313, Val Loss = 0.12485
2026-01-09-18-26-49	Epoch 92	Train Loss = 0.09258, Val Loss = 0.12083
2026-01-09-18-28-56	Epoch 93	Train Loss = 0.09232, Val Loss = 0.12210
2026-01-09-18-31-02	Epoch 94	Train Loss = 0.09210, Val Loss = 0.12316
2026-01-09-18-33-09	Epoch 95	Train Loss = 0.09249, Val Loss = 0.12195
2026-01-09-18-35-15	Epoch 96	Train Loss = 0.09154, Val Loss = 0.12841
2026-01-09-18-37-22	Epoch 97	Train Loss = 0.09181, Val Loss = 0.12170
2026-01-09-18-39-28	Epoch 98	Train Loss = 0.09104, Val Loss = 0.12266
2026-01-09-18-41-35	Epoch 99	Train Loss = 0.09148, Val Loss = 0.12205
2026-01-09-18-43-42	Epoch 100	Train Loss = 0.09179, Val Loss = 0.12165
2026-01-09-18-45-48	Epoch 101	Train Loss = 0.09028, Val Loss = 0.12204
2026-01-09-18-47-55	Epoch 102	Train Loss = 0.09095, Val Loss = 0.12144
2026-01-09-18-50-01	Epoch 103	Train Loss = 0.09083, Val Loss = 0.12168
2026-01-09-18-52-08	Epoch 104	Train Loss = 0.09031, Val Loss = 0.12130
2026-01-09-18-54-14	Epoch 105	Train Loss = 0.09012, Val Loss = 0.12196
2026-01-09-18-56-21	Epoch 106	Train Loss = 0.08927, Val Loss = 0.12123
2026-01-09-18-58-27	Epoch 107	Train Loss = 0.08972, Val Loss = 0.12162
2026-01-09-19-00-34	Epoch 108	Train Loss = 0.08953, Val Loss = 0.12115
2026-01-09-19-02-40	Epoch 109	Train Loss = 0.09013, Val Loss = 0.12405
2026-01-09-19-04-47	Epoch 110	Train Loss = 0.09191, Val Loss = 0.12295
2026-01-09-19-06-54	Epoch 111	Train Loss = 0.08901, Val Loss = 0.12124
2026-01-09-19-09-00	Epoch 112	Train Loss = 0.08856, Val Loss = 0.12092
2026-01-09-19-11-07	Epoch 113	Train Loss = 0.08901, Val Loss = 0.12162
2026-01-09-19-13-13	Epoch 114	Train Loss = 0.08892, Val Loss = 0.12158
2026-01-09-19-15-20	Epoch 115	Train Loss = 0.08835, Val Loss = 0.12100
2026-01-09-19-17-27	Epoch 116	Train Loss = 0.08930, Val Loss = 0.12301
2026-01-09-19-19-33	Epoch 117	Train Loss = 0.08848, Val Loss = 0.12158
2026-01-09-19-21-40	Epoch 118	Train Loss = 0.08853, Val Loss = 0.12116
2026-01-09-19-23-47	Epoch 119	Train Loss = 0.08790, Val Loss = 0.12117
2026-01-09-19-25-53	Epoch 120	Train Loss = 0.08828, Val Loss = 0.12074
2026-01-09-19-28-00	Epoch 121	Train Loss = 0.08837, Val Loss = 0.12167
2026-01-09-19-30-06	Epoch 122	Train Loss = 0.08734, Val Loss = 0.11991
2026-01-09-19-32-13	Epoch 123	Train Loss = 0.08795, Val Loss = 0.12075
2026-01-09-19-34-19	Epoch 124	Train Loss = 0.08720, Val Loss = 0.12000
2026-01-09-19-36-26	Epoch 125	Train Loss = 0.08700, Val Loss = 0.12005
2026-01-09-19-38-33	Epoch 126	Train Loss = 0.08654, Val Loss = 0.12142
2026-01-09-19-40-39	Epoch 127	Train Loss = 0.08728, Val Loss = 0.12186
2026-01-09-19-42-46	Epoch 128	Train Loss = 0.08744, Val Loss = 0.12181
2026-01-09-19-44-52	Epoch 129	Train Loss = 0.08673, Val Loss = 0.12062
2026-01-09-19-46-59	Epoch 130	Train Loss = 0.08844, Val Loss = 0.12089
2026-01-09-19-49-05	Epoch 131	Train Loss = 0.08762, Val Loss = 0.12070
2026-01-09-19-51-12	Epoch 132	Train Loss = 0.08692, Val Loss = 0.12114
2026-01-09-19-53-18	Epoch 133	Train Loss = 0.08624, Val Loss = 0.12016
2026-01-09-19-55-25	Epoch 134	Train Loss = 0.08644, Val Loss = 0.12008
2026-01-09-19-57-31	Epoch 135	Train Loss = 0.08638, Val Loss = 0.12210
2026-01-09-19-59-38	Epoch 136	Train Loss = 0.08559, Val Loss = 0.11967
2026-01-09-20-01-44	Epoch 137	Train Loss = 0.08642, Val Loss = 0.12030
2026-01-09-20-03-51	Epoch 138	Train Loss = 0.08543, Val Loss = 0.11977
2026-01-09-20-05-57	Epoch 139	Train Loss = 0.08515, Val Loss = 0.12030
2026-01-09-20-08-04	Epoch 140	Train Loss = 0.08529, Val Loss = 0.12106
