{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-02-15-55-55	Epoch 1	Train Loss = 0.40485, Val Loss = 0.35899
2026-01-02-15-58-00	Epoch 2	Train Loss = 0.19592, Val Loss = 0.17996
2026-01-02-16-00-05	Epoch 3	Train Loss = 0.16328, Val Loss = 0.18204
2026-01-02-16-02-10	Epoch 4	Train Loss = 0.15207, Val Loss = 0.16886
2026-01-02-16-04-15	Epoch 5	Train Loss = 0.14911, Val Loss = 0.16216
2026-01-02-16-06-21	Epoch 6	Train Loss = 0.14929, Val Loss = 0.16811
2026-01-02-16-08-26	Epoch 7	Train Loss = 0.14489, Val Loss = 0.18065
2026-01-02-16-10-31	Epoch 8	Train Loss = 0.14593, Val Loss = 0.17847
2026-01-02-16-12-36	Epoch 9	Train Loss = 0.14153, Val Loss = 0.16285
2026-01-02-16-14-41	Epoch 10	Train Loss = 0.14214, Val Loss = 0.16084
2026-01-02-16-16-46	Epoch 11	Train Loss = 0.14286, Val Loss = 0.16815
2026-01-02-16-18-51	Epoch 12	Train Loss = 0.14127, Val Loss = 0.15546
2026-01-02-16-20-57	Epoch 13	Train Loss = 0.13930, Val Loss = 0.15287
2026-01-02-16-23-02	Epoch 14	Train Loss = 0.14030, Val Loss = 0.15243
2026-01-02-16-25-07	Epoch 15	Train Loss = 0.13760, Val Loss = 0.15508
2026-01-02-16-27-12	Epoch 16	Train Loss = 0.13663, Val Loss = 0.16028
2026-01-02-16-29-17	Epoch 17	Train Loss = 0.13627, Val Loss = 0.15770
2026-01-02-16-31-22	Epoch 18	Train Loss = 0.13536, Val Loss = 0.15733
2026-01-02-16-33-27	Epoch 19	Train Loss = 0.13604, Val Loss = 0.15494
2026-01-02-16-35-33	Epoch 20	Train Loss = 0.13357, Val Loss = 0.15302
2026-01-02-16-37-38	Epoch 21	Train Loss = 0.13376, Val Loss = 0.15474
2026-01-02-16-39-43	Epoch 22	Train Loss = 0.13106, Val Loss = 0.15523
2026-01-02-16-41-48	Epoch 23	Train Loss = 0.13045, Val Loss = 0.14811
2026-01-02-16-43-53	Epoch 24	Train Loss = 0.12950, Val Loss = 0.15368
2026-01-02-16-45-58	Epoch 25	Train Loss = 0.12957, Val Loss = 0.14699
2026-01-02-16-48-04	Epoch 26	Train Loss = 0.12858, Val Loss = 0.14876
2026-01-02-16-50-09	Epoch 27	Train Loss = 0.12586, Val Loss = 0.14493
2026-01-02-16-52-14	Epoch 28	Train Loss = 0.12380, Val Loss = 0.14782
2026-01-02-16-54-19	Epoch 29	Train Loss = 0.12463, Val Loss = 0.14537
2026-01-02-16-56-24	Epoch 30	Train Loss = 0.12369, Val Loss = 0.14146
2026-01-02-16-58-29	Epoch 31	Train Loss = 0.12374, Val Loss = 0.14593
2026-01-02-17-00-34	Epoch 32	Train Loss = 0.12300, Val Loss = 0.14594
2026-01-02-17-02-40	Epoch 33	Train Loss = 0.12104, Val Loss = 0.13880
2026-01-02-17-04-45	Epoch 34	Train Loss = 0.12167, Val Loss = 0.14715
2026-01-02-17-06-50	Epoch 35	Train Loss = 0.12160, Val Loss = 0.14692
2026-01-02-17-08-56	Epoch 36	Train Loss = 0.12016, Val Loss = 0.14217
2026-01-02-17-11-01	Epoch 37	Train Loss = 0.11997, Val Loss = 0.14697
2026-01-02-17-13-06	Epoch 38	Train Loss = 0.11901, Val Loss = 0.14216
2026-01-02-17-15-12	Epoch 39	Train Loss = 0.12001, Val Loss = 0.13972
2026-01-02-17-17-17	Epoch 40	Train Loss = 0.11895, Val Loss = 0.13918
2026-01-02-17-19-22	Epoch 41	Train Loss = 0.11823, Val Loss = 0.14643
2026-01-02-17-21-28	Epoch 42	Train Loss = 0.17404, Val Loss = 0.17114
2026-01-02-17-23-33	Epoch 43	Train Loss = 0.14049, Val Loss = 0.15653
2026-01-02-17-25-38	Epoch 44	Train Loss = 0.12734, Val Loss = 0.14409
2026-01-02-17-27-44	Epoch 45	Train Loss = 0.12295, Val Loss = 0.15462
2026-01-02-17-29-49	Epoch 46	Train Loss = 0.12019, Val Loss = 0.14575
2026-01-02-17-31-54	Epoch 47	Train Loss = 0.11813, Val Loss = 0.13803
2026-01-02-17-34-00	Epoch 48	Train Loss = 0.11790, Val Loss = 0.13813
2026-01-02-17-36-05	Epoch 49	Train Loss = 0.11714, Val Loss = 0.13812
2026-01-02-17-38-10	Epoch 50	Train Loss = 0.11772, Val Loss = 0.14029
2026-01-02-17-40-15	Epoch 51	Train Loss = 0.11616, Val Loss = 0.14059
2026-01-02-17-42-21	Epoch 52	Train Loss = 0.11590, Val Loss = 0.14088
2026-01-02-17-44-26	Epoch 53	Train Loss = 0.11442, Val Loss = 0.13428
2026-01-02-17-46-31	Epoch 54	Train Loss = 0.11422, Val Loss = 0.13536
2026-01-02-17-48-36	Epoch 55	Train Loss = 0.11350, Val Loss = 0.13779
2026-01-02-17-50-41	Epoch 56	Train Loss = 0.12971, Val Loss = 0.21705
2026-01-02-17-52-47	Epoch 57	Train Loss = 0.14289, Val Loss = 0.15775
2026-01-02-17-54-52	Epoch 58	Train Loss = 0.12507, Val Loss = 0.14840
2026-01-02-17-56-57	Epoch 59	Train Loss = 0.11849, Val Loss = 0.14171
2026-01-02-17-59-02	Epoch 60	Train Loss = 0.11569, Val Loss = 0.13825
2026-01-02-18-01-08	Epoch 61	Train Loss = 0.11377, Val Loss = 0.13482
2026-01-02-18-03-13	Epoch 62	Train Loss = 0.11333, Val Loss = 0.13990
2026-01-02-18-05-18	Epoch 63	Train Loss = 0.11179, Val Loss = 0.13440
2026-01-02-18-07-23	Epoch 64	Train Loss = 0.11150, Val Loss = 0.13602
2026-01-02-18-09-29	Epoch 65	Train Loss = 0.11104, Val Loss = 0.13391
2026-01-02-18-11-34	Epoch 66	Train Loss = 0.11116, Val Loss = 0.14052
2026-01-02-18-13-39	Epoch 67	Train Loss = 0.11100, Val Loss = 0.13551
2026-01-02-18-15-44	Epoch 68	Train Loss = 0.11015, Val Loss = 0.13225
2026-01-02-18-17-50	Epoch 69	Train Loss = 0.10867, Val Loss = 0.13292
2026-01-02-18-19-55	Epoch 70	Train Loss = 0.10947, Val Loss = 0.13876
