{'gpu': {'device_ids': [0, 1, 2], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 64}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 1, 'K': 8, 'd': 16, 'embed_dim': 64, 'skip_dim': 256}, 'training': {'max_epoch': 1500, 'patience': 250, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': False, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.15, 'warmup_epochs': 15}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-01-21-45-40	Epoch 1	Train Loss = 204.38083, Val Loss = 172.06415
2026-01-01-21-45-50	Epoch 2	Train Loss = 108.75970, Val Loss = 85.96497
2026-01-01-21-46-00	Epoch 3	Train Loss = 74.71996, Val Loss = 69.24443
2026-01-01-21-46-09	Epoch 4	Train Loss = 60.67668, Val Loss = 54.98044
2026-01-01-21-46-18	Epoch 5	Train Loss = 48.18144, Val Loss = 48.70468
2026-01-01-21-46-28	Epoch 6	Train Loss = 42.95876, Val Loss = 51.63234
2026-01-01-21-46-37	Epoch 7	Train Loss = 40.62477, Val Loss = 42.13752
2026-01-01-21-46-47	Epoch 8	Train Loss = 38.65458, Val Loss = 40.74509
2026-01-01-21-46-56	Epoch 9	Train Loss = 37.18952, Val Loss = 35.78912
2026-01-01-21-47-06	Epoch 10	Train Loss = 35.70915, Val Loss = 38.75983
2026-01-01-21-47-15	Epoch 11	Train Loss = 34.47494, Val Loss = 34.26423
2026-01-01-21-47-24	Epoch 12	Train Loss = 33.19170, Val Loss = 34.89861
2026-01-01-21-47-34	Epoch 13	Train Loss = 34.28410, Val Loss = 40.25702
2026-01-01-21-47-43	Epoch 14	Train Loss = 46.94132, Val Loss = 62.53820
2026-01-01-21-47-53	Epoch 15	Train Loss = 46.26371, Val Loss = 46.39751
2026-01-01-21-48-02	Epoch 16	Train Loss = 48.76925, Val Loss = 41.40646
2026-01-01-21-48-11	Epoch 17	Train Loss = 45.30453, Val Loss = 38.54443
2026-01-01-21-48-21	Epoch 18	Train Loss = 39.43936, Val Loss = 34.77686
2026-01-01-21-48-30	Epoch 19	Train Loss = 33.80600, Val Loss = 40.39350
2026-01-01-21-48-40	Epoch 20	Train Loss = 32.63659, Val Loss = 36.05842
2026-01-01-21-48-49	Epoch 21	Train Loss = 32.46149, Val Loss = 31.73660
2026-01-01-21-48-59	Epoch 22	Train Loss = 33.73379, Val Loss = 46.46864
2026-01-01-21-49-08	Epoch 23	Train Loss = 42.81549, Val Loss = 36.25847
2026-01-01-21-49-17	Epoch 24	Train Loss = 35.51439, Val Loss = 32.52394
2026-01-01-21-49-27	Epoch 25	Train Loss = 31.28833, Val Loss = 33.34782
2026-01-01-21-49-36	Epoch 26	Train Loss = 32.09338, Val Loss = 38.14078
2026-01-01-21-49-45	Epoch 27	Train Loss = 35.81764, Val Loss = 35.31417
2026-01-01-21-49-55	Epoch 28	Train Loss = 36.73949, Val Loss = 41.27886
2026-01-01-21-50-04	Epoch 29	Train Loss = 36.34015, Val Loss = 35.87744
2026-01-01-21-50-14	Epoch 30	Train Loss = 31.53742, Val Loss = 32.65359
2026-01-01-21-50-23	Epoch 31	Train Loss = 30.65552, Val Loss = 36.61535
2026-01-01-21-50-33	Epoch 32	Train Loss = 30.27497, Val Loss = 27.13734
2026-01-01-21-50-42	Epoch 33	Train Loss = 28.70927, Val Loss = 32.29121
2026-01-01-21-50-51	Epoch 34	Train Loss = 27.80147, Val Loss = 27.52774
2026-01-01-21-51-01	Epoch 35	Train Loss = 27.18598, Val Loss = 26.58602
2026-01-01-21-51-10	Epoch 36	Train Loss = 29.76603, Val Loss = 38.43021
2026-01-01-21-51-19	Epoch 37	Train Loss = 32.79877, Val Loss = 40.82938
2026-01-01-21-51-29	Epoch 38	Train Loss = 29.81439, Val Loss = 31.24491
2026-01-01-21-51-38	Epoch 39	Train Loss = 29.59550, Val Loss = 27.51297
2026-01-01-21-51-48	Epoch 40	Train Loss = 27.30164, Val Loss = 27.21870
2026-01-01-21-51-57	Epoch 41	Train Loss = 26.65531, Val Loss = 27.21002
2026-01-01-21-52-06	Epoch 42	Train Loss = 27.39882, Val Loss = 29.70489
2026-01-01-21-52-16	Epoch 43	Train Loss = 27.96200, Val Loss = 29.12613
2026-01-01-21-52-25	Epoch 44	Train Loss = 28.96547, Val Loss = 28.05382
2026-01-01-21-52-35	Epoch 45	Train Loss = 29.70032, Val Loss = 31.54515
2026-01-01-21-52-44	Epoch 46	Train Loss = 32.60370, Val Loss = 29.77194
2026-01-01-21-52-53	Epoch 47	Train Loss = 29.03424, Val Loss = 30.21035
2026-01-01-21-53-03	Epoch 48	Train Loss = 26.77609, Val Loss = 26.78746
2026-01-01-21-53-12	Epoch 49	Train Loss = 24.93501, Val Loss = 24.70163
2026-01-01-21-53-21	Epoch 50	Train Loss = 27.11272, Val Loss = 26.22055
2026-01-01-21-53-31	Epoch 51	Train Loss = 26.51852, Val Loss = 28.86721
2026-01-01-21-53-40	Epoch 52	Train Loss = 24.86395, Val Loss = 26.34224
2026-01-01-21-53-49	Epoch 53	Train Loss = 25.45679, Val Loss = 28.71988
2026-01-01-21-53-59	Epoch 54	Train Loss = 27.74260, Val Loss = 27.06208
2026-01-01-21-54-08	Epoch 55	Train Loss = 24.85730, Val Loss = 23.85316
2026-01-01-21-54-17	Epoch 56	Train Loss = 27.90832, Val Loss = 26.95726
2026-01-01-21-54-27	Epoch 57	Train Loss = 24.91344, Val Loss = 26.88083
2026-01-01-21-54-36	Epoch 58	Train Loss = 24.23763, Val Loss = 23.71258
2026-01-01-21-54-45	Epoch 59	Train Loss = 21.78312, Val Loss = 22.54176
2026-01-01-21-54-55	Epoch 60	Train Loss = 21.40412, Val Loss = 32.15147
2026-01-01-21-55-04	Epoch 61	Train Loss = 25.85622, Val Loss = 25.44053
2026-01-01-21-55-14	Epoch 62	Train Loss = 26.68923, Val Loss = 23.95815
2026-01-01-21-55-23	Epoch 63	Train Loss = 22.05246, Val Loss = 21.34640
2026-01-01-21-55-32	Epoch 64	Train Loss = 24.81723, Val Loss = 28.46004
2026-01-01-21-55-42	Epoch 65	Train Loss = 26.48788, Val Loss = 25.99454
2026-01-01-21-55-51	Epoch 66	Train Loss = 26.54547, Val Loss = 31.17579
2026-01-01-21-56-00	Epoch 67	Train Loss = 26.80010, Val Loss = 27.16334
2026-01-01-21-56-10	Epoch 68	Train Loss = 23.47642, Val Loss = 23.84071
2026-01-01-21-56-19	Epoch 69	Train Loss = 22.18960, Val Loss = 26.76974
2026-01-01-21-56-28	Epoch 70	Train Loss = 26.38378, Val Loss = 25.93218
2026-01-01-21-56-38	Epoch 71	Train Loss = 24.53717, Val Loss = 23.65625
2026-01-01-21-56-47	Epoch 72	Train Loss = 25.50031, Val Loss = 26.68899
2026-01-01-21-56-56	Epoch 73	Train Loss = 24.07324, Val Loss = 25.20755
2026-01-01-21-57-06	Epoch 74	Train Loss = 23.33002, Val Loss = 23.16041
2026-01-01-21-57-15	Epoch 75	Train Loss = 22.50819, Val Loss = 23.09557
2026-01-01-21-57-24	Epoch 76	Train Loss = 23.10218, Val Loss = 32.93336
2026-01-01-21-57-34	Epoch 77	Train Loss = 26.38547, Val Loss = 22.85458
2026-01-01-21-57-43	Epoch 78	Train Loss = 21.22241, Val Loss = 21.37388
2026-01-01-21-57-52	Epoch 79	Train Loss = 25.12120, Val Loss = 22.51417
2026-01-01-21-58-02	Epoch 80	Train Loss = 22.87832, Val Loss = 24.31002
2026-01-01-21-58-11	Epoch 81	Train Loss = 23.23080, Val Loss = 25.95778
2026-01-01-21-58-21	Epoch 82	Train Loss = 24.03956, Val Loss = 25.40475
2026-01-01-21-58-30	Epoch 83	Train Loss = 24.71839, Val Loss = 26.49263
2026-01-01-21-58-39	Epoch 84	Train Loss = 24.87107, Val Loss = 28.30835
2026-01-01-21-58-49	Epoch 85	Train Loss = 22.25514, Val Loss = 26.86251
2026-01-01-21-58-58	Epoch 86	Train Loss = 23.08954, Val Loss = 23.25097
2026-01-01-21-59-07	Epoch 87	Train Loss = 24.31235, Val Loss = 24.17223
2026-01-01-21-59-17	Epoch 88	Train Loss = 23.11460, Val Loss = 31.39915
2026-01-01-21-59-26	Epoch 89	Train Loss = 27.59979, Val Loss = 26.67041
2026-01-01-21-59-36	Epoch 90	Train Loss = 22.71464, Val Loss = 23.20709
2026-01-01-21-59-45	Epoch 91	Train Loss = 21.19074, Val Loss = 22.01854
2026-01-01-21-59-54	Epoch 92	Train Loss = 20.40257, Val Loss = 20.45289
2026-01-01-22-00-04	Epoch 93	Train Loss = 20.03115, Val Loss = 20.41616
2026-01-01-22-00-13	Epoch 94	Train Loss = 20.65890, Val Loss = 20.88672
2026-01-01-22-00-22	Epoch 95	Train Loss = 23.54828, Val Loss = 24.93932
2026-01-01-22-00-32	Epoch 96	Train Loss = 23.36703, Val Loss = 26.27158
2026-01-01-22-00-41	Epoch 97	Train Loss = 27.09639, Val Loss = 25.60580
2026-01-01-22-00-50	Epoch 98	Train Loss = 23.45506, Val Loss = 30.97186
2026-01-01-22-01-00	Epoch 99	Train Loss = 23.17595, Val Loss = 22.76951
2026-01-01-22-01-09	Epoch 100	Train Loss = 22.89634, Val Loss = 27.68238
2026-01-01-22-01-19	Epoch 101	Train Loss = 22.03993, Val Loss = 29.04099
2026-01-01-22-01-28	Epoch 102	Train Loss = 21.45697, Val Loss = 19.81873
