{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0005, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-12-12-38-06	Epoch 1	Train Loss = 0.25872, Val Loss = 0.18205
2026-01-12-12-40-12	Epoch 2	Train Loss = 0.13389, Val Loss = 0.16626
2026-01-12-12-42-18	Epoch 3	Train Loss = 0.12881, Val Loss = 0.14870
2026-01-12-12-44-23	Epoch 4	Train Loss = 0.12478, Val Loss = 0.14185
2026-01-12-12-46-29	Epoch 5	Train Loss = 0.12081, Val Loss = 0.13757
2026-01-12-12-48-35	Epoch 6	Train Loss = 0.11273, Val Loss = 0.12946
2026-01-12-12-50-41	Epoch 7	Train Loss = 0.11009, Val Loss = 0.13182
2026-01-12-12-52-47	Epoch 8	Train Loss = 0.10771, Val Loss = 0.13081
2026-01-12-12-54-53	Epoch 9	Train Loss = 0.10629, Val Loss = 0.13085
2026-01-12-12-56-58	Epoch 10	Train Loss = 0.10532, Val Loss = 0.12531
2026-01-12-12-59-04	Epoch 11	Train Loss = 0.10402, Val Loss = 0.12633
2026-01-12-13-01-10	Epoch 12	Train Loss = 0.10384, Val Loss = 0.12316
2026-01-12-13-03-16	Epoch 13	Train Loss = 0.10259, Val Loss = 0.12250
2026-01-12-13-05-22	Epoch 14	Train Loss = 0.10225, Val Loss = 0.12368
2026-01-12-13-07-28	Epoch 15	Train Loss = 0.10218, Val Loss = 0.12273
2026-01-12-13-09-34	Epoch 16	Train Loss = 0.10101, Val Loss = 0.12790
2026-01-12-13-11-40	Epoch 17	Train Loss = 0.10081, Val Loss = 0.12192
2026-01-12-13-13-46	Epoch 18	Train Loss = 0.10015, Val Loss = 0.12259
2026-01-12-13-15-52	Epoch 19	Train Loss = 0.09995, Val Loss = 0.12372
2026-01-12-13-17-58	Epoch 20	Train Loss = 0.09928, Val Loss = 0.12058
2026-01-12-13-20-03	Epoch 21	Train Loss = 0.09939, Val Loss = 0.11886
2026-01-12-13-22-09	Epoch 22	Train Loss = 0.09850, Val Loss = 0.12013
2026-01-12-13-24-15	Epoch 23	Train Loss = 0.09872, Val Loss = 0.11921
2026-01-12-13-26-21	Epoch 24	Train Loss = 0.09813, Val Loss = 0.11938
2026-01-12-13-28-27	Epoch 25	Train Loss = 0.09828, Val Loss = 0.12061
2026-01-12-13-30-32	Epoch 26	Train Loss = 0.09764, Val Loss = 0.11964
2026-01-12-13-32-38	Epoch 27	Train Loss = 0.09784, Val Loss = 0.11834
2026-01-12-13-34-44	Epoch 28	Train Loss = 0.09697, Val Loss = 0.11837
2026-01-12-13-36-50	Epoch 29	Train Loss = 0.09697, Val Loss = 0.11925
2026-01-12-13-38-56	Epoch 30	Train Loss = 0.09714, Val Loss = 0.11956
2026-01-12-13-41-02	Epoch 31	Train Loss = 0.09701, Val Loss = 0.11800
2026-01-12-13-43-07	Epoch 32	Train Loss = 0.09626, Val Loss = 0.11807
2026-01-12-13-45-13	Epoch 33	Train Loss = 0.09606, Val Loss = 0.11822
2026-01-12-13-47-19	Epoch 34	Train Loss = 0.09577, Val Loss = 0.11715
2026-01-12-13-49-25	Epoch 35	Train Loss = 0.09589, Val Loss = 0.11746
2026-01-12-13-51-31	Epoch 36	Train Loss = 0.09513, Val Loss = 0.11725
2026-01-12-13-53-36	Epoch 37	Train Loss = 0.09513, Val Loss = 0.11779
2026-01-12-13-55-42	Epoch 38	Train Loss = 0.09528, Val Loss = 0.11646
2026-01-12-13-57-48	Epoch 39	Train Loss = 0.09528, Val Loss = 0.11868
2026-01-12-13-59-54	Epoch 40	Train Loss = 0.09546, Val Loss = 0.11817
[Curriculum Info] Epoch 40: Resetting Early Stopping...
2026-01-12-14-02-00	Epoch 41	Train Loss = 0.12243, Val Loss = 0.12817
2026-01-12-14-04-05	Epoch 42	Train Loss = 0.10480, Val Loss = 0.12584
2026-01-12-14-06-11	Epoch 43	Train Loss = 0.10321, Val Loss = 0.12541
2026-01-12-14-08-17	Epoch 44	Train Loss = 0.10218, Val Loss = 0.12568
2026-01-12-14-10-22	Epoch 45	Train Loss = 0.10122, Val Loss = 0.12496
2026-01-12-14-12-28	Epoch 46	Train Loss = 0.10053, Val Loss = 0.12341
2026-01-12-14-14-34	Epoch 47	Train Loss = 0.10085, Val Loss = 0.12302
2026-01-12-14-16-39	Epoch 48	Train Loss = 0.10027, Val Loss = 0.12364
2026-01-12-14-18-45	Epoch 49	Train Loss = 0.09973, Val Loss = 0.12291
2026-01-12-14-20-51	Epoch 50	Train Loss = 0.09965, Val Loss = 0.12262
2026-01-12-14-22-57	Epoch 51	Train Loss = 0.09924, Val Loss = 0.12224
2026-01-12-14-25-02	Epoch 52	Train Loss = 0.09916, Val Loss = 0.12193
2026-01-12-14-27-08	Epoch 53	Train Loss = 0.09897, Val Loss = 0.12241
2026-01-12-14-29-14	Epoch 54	Train Loss = 0.09923, Val Loss = 0.12385
2026-01-12-14-31-19	Epoch 55	Train Loss = 0.09812, Val Loss = 0.12241
2026-01-12-14-33-25	Epoch 56	Train Loss = 0.09841, Val Loss = 0.12271
2026-01-12-14-35-31	Epoch 57	Train Loss = 0.09836, Val Loss = 0.12140
2026-01-12-14-37-36	Epoch 58	Train Loss = 0.09838, Val Loss = 0.12112
2026-01-12-14-39-42	Epoch 59	Train Loss = 0.09774, Val Loss = 0.12194
2026-01-12-14-41-48	Epoch 60	Train Loss = 0.09750, Val Loss = 0.12150
2026-01-12-14-43-53	Epoch 61	Train Loss = 0.09713, Val Loss = 0.12159
2026-01-12-14-45-59	Epoch 62	Train Loss = 0.09791, Val Loss = 0.12116
2026-01-12-14-48-05	Epoch 63	Train Loss = 0.09696, Val Loss = 0.12044
2026-01-12-14-50-10	Epoch 64	Train Loss = 0.09727, Val Loss = 0.12089
2026-01-12-14-52-16	Epoch 65	Train Loss = 0.09674, Val Loss = 0.12062
2026-01-12-14-54-21	Epoch 66	Train Loss = 0.09617, Val Loss = 0.12193
2026-01-12-14-56-27	Epoch 67	Train Loss = 0.09694, Val Loss = 0.12063
2026-01-12-14-58-33	Epoch 68	Train Loss = 0.09607, Val Loss = 0.12005
2026-01-12-15-00-38	Epoch 69	Train Loss = 0.09627, Val Loss = 0.12112
2026-01-12-15-02-44	Epoch 70	Train Loss = 0.09593, Val Loss = 0.12004
[Curriculum Info] Epoch 70: Resetting Early Stopping...
2026-01-12-15-04-50	Epoch 71	Train Loss = 0.14379, Val Loss = 0.13224
2026-01-12-15-06-55	Epoch 72	Train Loss = 0.10737, Val Loss = 0.13069
2026-01-12-15-09-01	Epoch 73	Train Loss = 0.10432, Val Loss = 0.12926
2026-01-12-15-11-06	Epoch 74	Train Loss = 0.10387, Val Loss = 0.13129
2026-01-12-15-13-12	Epoch 75	Train Loss = 0.10249, Val Loss = 0.12784
2026-01-12-15-15-18	Epoch 76	Train Loss = 0.10172, Val Loss = 0.12902
2026-01-12-15-17-23	Epoch 77	Train Loss = 0.10176, Val Loss = 0.12821
2026-01-12-15-19-29	Epoch 78	Train Loss = 0.10241, Val Loss = 0.12743
2026-01-12-15-21-34	Epoch 79	Train Loss = 0.10036, Val Loss = 0.12680
2026-01-12-15-23-40	Epoch 80	Train Loss = 0.10129, Val Loss = 0.12892
2026-01-12-15-25-46	Epoch 81	Train Loss = 0.10053, Val Loss = 0.12614
2026-01-12-15-27-52	Epoch 82	Train Loss = 0.09963, Val Loss = 0.12624
2026-01-12-15-29-57	Epoch 83	Train Loss = 0.09959, Val Loss = 0.12500
2026-01-12-15-32-03	Epoch 84	Train Loss = 0.10064, Val Loss = 0.12790
2026-01-12-15-34-08	Epoch 85	Train Loss = 0.09936, Val Loss = 0.12596
2026-01-12-15-36-14	Epoch 86	Train Loss = 0.09800, Val Loss = 0.12588
2026-01-12-15-38-20	Epoch 87	Train Loss = 0.09816, Val Loss = 0.12551
2026-01-12-15-40-25	Epoch 88	Train Loss = 0.09832, Val Loss = 0.12643
2026-01-12-15-42-31	Epoch 89	Train Loss = 0.09776, Val Loss = 0.12535
2026-01-12-15-44-37	Epoch 90	Train Loss = 0.09726, Val Loss = 0.12610
2026-01-12-15-46-42	Epoch 91	Train Loss = 0.09749, Val Loss = 0.12568
2026-01-12-15-48-48	Epoch 92	Train Loss = 0.09757, Val Loss = 0.12582
2026-01-12-15-50-53	Epoch 93	Train Loss = 0.09731, Val Loss = 0.12558
2026-01-12-15-52-59	Epoch 94	Train Loss = 0.09665, Val Loss = 0.12494
2026-01-12-15-55-05	Epoch 95	Train Loss = 0.09723, Val Loss = 0.12566
2026-01-12-15-57-10	Epoch 96	Train Loss = 0.09740, Val Loss = 0.12657
2026-01-12-15-59-16	Epoch 97	Train Loss = 0.09668, Val Loss = 0.12475
2026-01-12-16-01-22	Epoch 98	Train Loss = 0.09759, Val Loss = 0.12580
2026-01-12-16-03-27	Epoch 99	Train Loss = 0.09675, Val Loss = 0.12534
2026-01-12-16-05-33	Epoch 100	Train Loss = 0.09671, Val Loss = 0.12443
2026-01-12-16-07-39	Epoch 101	Train Loss = 0.09740, Val Loss = 0.13059
2026-01-12-16-09-44	Epoch 102	Train Loss = 0.09735, Val Loss = 0.12573
2026-01-12-16-11-50	Epoch 103	Train Loss = 0.09591, Val Loss = 0.12738
2026-01-12-16-13-56	Epoch 104	Train Loss = 0.09617, Val Loss = 0.12503
2026-01-12-16-16-01	Epoch 105	Train Loss = 0.09548, Val Loss = 0.12434
2026-01-12-16-18-07	Epoch 106	Train Loss = 0.09475, Val Loss = 0.12477
2026-01-12-16-20-12	Epoch 107	Train Loss = 0.09756, Val Loss = 0.12699
