{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': True, 'temporal_weight_scheme': 'exponential', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-12-01-58-52	Epoch 58	Train Loss = 0.10842, Val Loss = 0.12969
2026-01-12-02-00-58	Epoch 59	Train Loss = 0.10730, Val Loss = 0.12969
2026-01-12-02-03-04	Epoch 60	Train Loss = 0.10891, Val Loss = 0.13283
2026-01-12-02-05-10	Epoch 61	Train Loss = 0.10736, Val Loss = 0.12848
2026-01-12-02-07-15	Epoch 62	Train Loss = 0.10758, Val Loss = 0.12813
2026-01-12-02-09-21	Epoch 63	Train Loss = 0.10768, Val Loss = 0.13090
2026-01-12-02-11-27	Epoch 64	Train Loss = 0.10865, Val Loss = 0.12754
2026-01-12-02-13-33	Epoch 65	Train Loss = 0.10757, Val Loss = 0.12956
2026-01-12-02-15-39	Epoch 66	Train Loss = 0.10619, Val Loss = 0.12698
2026-01-12-02-17-44	Epoch 67	Train Loss = 0.10622, Val Loss = 0.12809
2026-01-12-02-19-50	Epoch 68	Train Loss = 0.10515, Val Loss = 0.12750
2026-01-12-02-21-56	Epoch 69	Train Loss = 0.10556, Val Loss = 0.12725
2026-01-12-02-24-02	Epoch 70	Train Loss = 0.10596, Val Loss = 0.12767
[Curriculum Info] Epoch 70: Resetting Early Stopping...
2026-01-12-02-26-08	Epoch 71	Train Loss = 0.14948, Val Loss = 0.15285
2026-01-12-02-28-14	Epoch 72	Train Loss = 0.12478, Val Loss = 0.14572
2026-01-12-02-30-20	Epoch 73	Train Loss = 0.12058, Val Loss = 0.14096
2026-01-12-02-32-26	Epoch 74	Train Loss = 0.11852, Val Loss = 0.13866
2026-01-12-02-34-31	Epoch 75	Train Loss = 0.11687, Val Loss = 0.13642
2026-01-12-02-36-37	Epoch 76	Train Loss = 0.11511, Val Loss = 0.13671
2026-01-12-02-38-43	Epoch 77	Train Loss = 0.11482, Val Loss = 0.13628
2026-01-12-02-40-49	Epoch 78	Train Loss = 0.11382, Val Loss = 0.13448
2026-01-12-02-42-55	Epoch 79	Train Loss = 0.11322, Val Loss = 0.13710
2026-01-12-02-45-01	Epoch 80	Train Loss = 0.11327, Val Loss = 0.13421
2026-01-12-02-47-07	Epoch 81	Train Loss = 0.11195, Val Loss = 0.13305
2026-01-12-02-49-13	Epoch 82	Train Loss = 0.11185, Val Loss = 0.13308
2026-01-12-02-51-19	Epoch 83	Train Loss = 0.11073, Val Loss = 0.13379
2026-01-12-02-53-25	Epoch 84	Train Loss = 0.11020, Val Loss = 0.13397
2026-01-12-02-55-30	Epoch 85	Train Loss = 0.11067, Val Loss = 0.13221
2026-01-12-02-57-36	Epoch 86	Train Loss = 0.10934, Val Loss = 0.13236
2026-01-12-02-59-42	Epoch 87	Train Loss = 0.11062, Val Loss = 0.13165
2026-01-12-03-01-48	Epoch 88	Train Loss = 0.10830, Val Loss = 0.13022
2026-01-12-03-03-54	Epoch 89	Train Loss = 0.10842, Val Loss = 0.13335
2026-01-12-03-06-00	Epoch 90	Train Loss = 0.10902, Val Loss = 0.13036
2026-01-12-03-08-06	Epoch 91	Train Loss = 0.11044, Val Loss = 0.13335
2026-01-12-03-10-11	Epoch 92	Train Loss = 0.10748, Val Loss = 0.13054
2026-01-12-03-12-17	Epoch 93	Train Loss = 0.10869, Val Loss = 0.13390
2026-01-12-03-14-23	Epoch 94	Train Loss = 0.10817, Val Loss = 0.13442
2026-01-12-03-16-29	Epoch 95	Train Loss = 0.10732, Val Loss = 0.13114
2026-01-12-03-18-35	Epoch 96	Train Loss = 0.10723, Val Loss = 0.13082
2026-01-12-03-20-41	Epoch 97	Train Loss = 0.10632, Val Loss = 0.12853
2026-01-12-03-22-47	Epoch 98	Train Loss = 0.10578, Val Loss = 0.13177
2026-01-12-03-24-52	Epoch 99	Train Loss = 0.10665, Val Loss = 0.13065
2026-01-12-03-26-58	Epoch 100	Train Loss = 0.10660, Val Loss = 0.13486
2026-01-12-03-29-04	Epoch 101	Train Loss = 0.10597, Val Loss = 0.13054
2026-01-12-03-31-10	Epoch 102	Train Loss = 0.10535, Val Loss = 0.12992
