{'gpu': {'device_ids': [1], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 3, 'K': 8, 'd': 32, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.002, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.3, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2026-01-09-15-08-35	Epoch 1	Train Loss = 0.17508, Val Loss = 0.17190
2026-01-09-15-10-41	Epoch 2	Train Loss = 0.13015, Val Loss = 0.14764
2026-01-09-15-12-48	Epoch 3	Train Loss = 0.12661, Val Loss = 0.14553
2026-01-09-15-14-55	Epoch 4	Train Loss = 0.12519, Val Loss = 0.14349
2026-01-09-15-17-01	Epoch 5	Train Loss = 0.12508, Val Loss = 0.14534
2026-01-09-15-19-08	Epoch 6	Train Loss = 0.12406, Val Loss = 0.14536
2026-01-09-15-21-15	Epoch 7	Train Loss = 0.12347, Val Loss = 0.14031
2026-01-09-15-23-21	Epoch 8	Train Loss = 0.11782, Val Loss = 0.13834
2026-01-09-15-25-28	Epoch 9	Train Loss = 0.11081, Val Loss = 0.13244
2026-01-09-15-27-35	Epoch 10	Train Loss = 0.10737, Val Loss = 0.12746
2026-01-09-15-29-42	Epoch 11	Train Loss = 0.10580, Val Loss = 0.12535
2026-01-09-15-31-48	Epoch 12	Train Loss = 0.10472, Val Loss = 0.12724
2026-01-09-15-33-55	Epoch 13	Train Loss = 0.10429, Val Loss = 0.12453
2026-01-09-15-36-02	Epoch 14	Train Loss = 0.10343, Val Loss = 0.12444
