{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 1, 'K': 8, 'd': 16, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.1, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-26-14-12-04	Epoch 1	Train Loss = 111.57260, Val Loss = 76.40717
2025-12-26-14-12-30	Epoch 2	Train Loss = 75.22789, Val Loss = 73.22942
2025-12-26-14-12-55	Epoch 3	Train Loss = 70.12746, Val Loss = 72.69937
2025-12-26-14-13-21	Epoch 4	Train Loss = 62.41477, Val Loss = 57.58780
2025-12-26-14-13-47	Epoch 5	Train Loss = 53.85593, Val Loss = 46.88276
2025-12-26-14-14-12	Epoch 6	Train Loss = 48.77575, Val Loss = 50.33720
2025-12-26-14-14-37	Epoch 7	Train Loss = 45.07334, Val Loss = 45.99509
2025-12-26-14-15-03	Epoch 8	Train Loss = 42.68266, Val Loss = 40.62918
2025-12-26-14-15-28	Epoch 9	Train Loss = 40.55316, Val Loss = 40.76597
2025-12-26-14-15-54	Epoch 10	Train Loss = 38.26604, Val Loss = 35.96820
2025-12-26-14-16-19	Epoch 11	Train Loss = 34.96040, Val Loss = 38.46385
2025-12-26-14-16-44	Epoch 12	Train Loss = 33.28003, Val Loss = 33.68060
2025-12-26-14-17-10	Epoch 13	Train Loss = 31.16998, Val Loss = 31.01934
2025-12-26-14-17-35	Epoch 14	Train Loss = 30.22756, Val Loss = 32.75332
2025-12-26-14-18-01	Epoch 15	Train Loss = 28.78915, Val Loss = 30.24765
2025-12-26-14-18-26	Epoch 16	Train Loss = 28.73589, Val Loss = 43.47612
2025-12-26-14-18-51	Epoch 17	Train Loss = 38.64617, Val Loss = 28.72983
2025-12-26-14-19-17	Epoch 18	Train Loss = 29.79314, Val Loss = 28.53061
2025-12-26-14-19-42	Epoch 19	Train Loss = 28.24933, Val Loss = 27.55105
2025-12-26-14-20-07	Epoch 20	Train Loss = 27.47564, Val Loss = 32.73450
2025-12-26-14-20-33	Epoch 21	Train Loss = 27.33181, Val Loss = 30.03151
2025-12-26-14-20-58	Epoch 22	Train Loss = 26.34428, Val Loss = 32.61931
2025-12-26-14-21-24	Epoch 23	Train Loss = 26.58063, Val Loss = 31.16761
2025-12-26-14-21-49	Epoch 24	Train Loss = 25.44587, Val Loss = 29.82682
2025-12-26-14-22-14	Epoch 25	Train Loss = 25.60294, Val Loss = 33.64030
2025-12-26-14-22-40	Epoch 26	Train Loss = 23.29874, Val Loss = 26.62395
2025-12-26-14-23-05	Epoch 27	Train Loss = 22.75052, Val Loss = 24.84314
2025-12-26-14-23-30	Epoch 28	Train Loss = 24.90500, Val Loss = 26.72422
2025-12-26-14-23-56	Epoch 29	Train Loss = 24.53180, Val Loss = 29.51657
2025-12-26-14-24-21	Epoch 30	Train Loss = 25.36012, Val Loss = 27.60536
2025-12-26-14-24-47	Epoch 31	Train Loss = 23.25614, Val Loss = 26.09397
2025-12-26-14-25-12	Epoch 32	Train Loss = 23.75140, Val Loss = 24.20034
2025-12-26-14-25-37	Epoch 33	Train Loss = 21.89975, Val Loss = 34.30342
2025-12-26-14-26-03	Epoch 34	Train Loss = 23.19166, Val Loss = 26.28097
2025-12-26-14-26-28	Epoch 35	Train Loss = 23.61869, Val Loss = 29.47097
2025-12-26-14-26-53	Epoch 36	Train Loss = 23.38417, Val Loss = 24.63966
2025-12-26-14-27-19	Epoch 37	Train Loss = 23.92161, Val Loss = 28.56760
2025-12-26-14-27-44	Epoch 38	Train Loss = 21.39836, Val Loss = 27.44682
2025-12-26-14-28-09	Epoch 39	Train Loss = 22.57831, Val Loss = 23.31744
2025-12-26-14-28-35	Epoch 40	Train Loss = 22.51122, Val Loss = 24.43230
2025-12-26-14-29-00	Epoch 41	Train Loss = 22.67538, Val Loss = 27.85933
2025-12-26-14-29-26	Epoch 42	Train Loss = 22.50583, Val Loss = 22.94937
2025-12-26-14-29-51	Epoch 43	Train Loss = 21.45628, Val Loss = 25.21397
2025-12-26-14-30-16	Epoch 44	Train Loss = 21.57644, Val Loss = 25.46716
2025-12-26-14-30-42	Epoch 45	Train Loss = 22.99780, Val Loss = 25.72547
2025-12-26-14-31-07	Epoch 46	Train Loss = 21.82753, Val Loss = 25.40397
2025-12-26-14-31-32	Epoch 47	Train Loss = 21.57965, Val Loss = 22.72352
2025-12-26-14-31-58	Epoch 48	Train Loss = 20.58859, Val Loss = 23.52918
2025-12-26-14-32-23	Epoch 49	Train Loss = 21.31011, Val Loss = 24.13421
2025-12-26-14-32-48	Epoch 50	Train Loss = 22.66039, Val Loss = 23.38656
2025-12-26-14-33-14	Epoch 51	Train Loss = 20.92658, Val Loss = 24.65734
2025-12-26-14-33-39	Epoch 52	Train Loss = 20.75455, Val Loss = 23.44489
2025-12-26-14-34-05	Epoch 53	Train Loss = 20.37402, Val Loss = 22.26254
2025-12-26-14-34-30	Epoch 54	Train Loss = 20.28606, Val Loss = 22.28081
2025-12-26-14-34-55	Epoch 55	Train Loss = 20.46268, Val Loss = 24.33847
2025-12-26-14-35-21	Epoch 56	Train Loss = 20.97730, Val Loss = 23.42060
2025-12-26-14-35-46	Epoch 57	Train Loss = 20.43631, Val Loss = 23.32592
2025-12-26-14-36-12	Epoch 58	Train Loss = 20.60931, Val Loss = 23.08072
2025-12-26-14-36-37	Epoch 59	Train Loss = 20.96215, Val Loss = 22.04833
2025-12-26-14-37-03	Epoch 60	Train Loss = 19.56417, Val Loss = 24.38266
2025-12-26-14-37-28	Epoch 61	Train Loss = 20.28416, Val Loss = 22.04931
2025-12-26-14-37-53	Epoch 62	Train Loss = 20.01124, Val Loss = 23.68682
2025-12-26-14-38-19	Epoch 63	Train Loss = 20.14399, Val Loss = 23.17851
2025-12-26-14-38-45	Epoch 64	Train Loss = 19.58739, Val Loss = 22.46153
2025-12-26-14-39-10	Epoch 65	Train Loss = 19.89257, Val Loss = 21.96118
2025-12-26-14-39-36	Epoch 66	Train Loss = 20.36685, Val Loss = 22.25063
2025-12-26-14-40-01	Epoch 67	Train Loss = 19.96463, Val Loss = 22.82522
2025-12-26-14-40-26	Epoch 68	Train Loss = 19.54709, Val Loss = 23.61969
2025-12-26-14-40-52	Epoch 69	Train Loss = 19.41373, Val Loss = 23.66652
2025-12-26-14-41-17	Epoch 70	Train Loss = 19.28548, Val Loss = 21.21594
2025-12-26-14-41-42	Epoch 71	Train Loss = 18.83609, Val Loss = 22.39453
2025-12-26-14-42-08	Epoch 72	Train Loss = 19.07782, Val Loss = 22.05160
2025-12-26-14-42-33	Epoch 73	Train Loss = 18.87207, Val Loss = 21.67314
2025-12-26-14-42-58	Epoch 74	Train Loss = 18.68183, Val Loss = 22.76042
2025-12-26-14-43-24	Epoch 75	Train Loss = 19.10233, Val Loss = 21.53334
2025-12-26-14-43-49	Epoch 76	Train Loss = 18.57529, Val Loss = 23.86570
2025-12-26-14-44-14	Epoch 77	Train Loss = 19.22988, Val Loss = 21.15806
2025-12-26-14-44-40	Epoch 78	Train Loss = 18.87819, Val Loss = 21.74695
2025-12-26-14-45-05	Epoch 79	Train Loss = 18.55582, Val Loss = 21.75729
2025-12-26-14-45-31	Epoch 80	Train Loss = 18.36233, Val Loss = 21.73744
2025-12-26-14-45-56	Epoch 81	Train Loss = 19.47812, Val Loss = 23.70661
2025-12-26-14-46-21	Epoch 82	Train Loss = 18.53871, Val Loss = 22.39317
2025-12-26-14-46-47	Epoch 83	Train Loss = 18.52135, Val Loss = 20.95366
2025-12-26-14-47-12	Epoch 84	Train Loss = 18.69579, Val Loss = 22.05219
2025-12-26-14-47-37	Epoch 85	Train Loss = 18.43880, Val Loss = 22.21549
2025-12-26-14-48-03	Epoch 86	Train Loss = 18.27092, Val Loss = 21.59448
2025-12-26-14-48-28	Epoch 87	Train Loss = 18.40053, Val Loss = 22.87140
2025-12-26-14-48-54	Epoch 88	Train Loss = 18.35877, Val Loss = 21.70241
2025-12-26-14-49-19	Epoch 89	Train Loss = 18.12731, Val Loss = 20.57128
2025-12-26-14-49-45	Epoch 90	Train Loss = 18.08828, Val Loss = 22.02559
2025-12-26-14-50-10	Epoch 91	Train Loss = 18.04706, Val Loss = 21.71229
2025-12-26-14-50-36	Epoch 92	Train Loss = 18.41583, Val Loss = 21.97564
2025-12-26-14-51-01	Epoch 93	Train Loss = 18.11736, Val Loss = 20.80880
2025-12-26-14-51-26	Epoch 94	Train Loss = 18.06976, Val Loss = 21.25087
2025-12-26-14-51-52	Epoch 95	Train Loss = 18.32127, Val Loss = 20.11809
2025-12-26-14-52-17	Epoch 96	Train Loss = 18.35348, Val Loss = 21.20851
2025-12-26-14-52-43	Epoch 97	Train Loss = 17.74593, Val Loss = 21.87756
2025-12-26-14-53-08	Epoch 98	Train Loss = 17.91057, Val Loss = 22.21008
2025-12-26-14-53-33	Epoch 99	Train Loss = 17.99651, Val Loss = 21.95354
2025-12-26-14-53-59	Epoch 100	Train Loss = 17.97224, Val Loss = 20.76199
2025-12-26-14-54-24	Epoch 101	Train Loss = 17.64799, Val Loss = 21.87186
2025-12-26-14-54-49	Epoch 102	Train Loss = 18.23005, Val Loss = 20.44272
2025-12-26-14-55-15	Epoch 103	Train Loss = 17.80947, Val Loss = 21.17900
2025-12-26-14-55-40	Epoch 104	Train Loss = 17.87772, Val Loss = 20.01655
2025-12-26-14-56-06	Epoch 105	Train Loss = 17.84366, Val Loss = 21.53484
2025-12-26-14-56-31	Epoch 106	Train Loss = 17.74379, Val Loss = 22.41774
2025-12-26-14-56-56	Epoch 107	Train Loss = 17.71024, Val Loss = 21.28251
2025-12-26-14-57-22	Epoch 108	Train Loss = 17.59891, Val Loss = 20.29492
2025-12-26-14-57-47	Epoch 109	Train Loss = 17.81365, Val Loss = 21.55718
2025-12-26-14-58-12	Epoch 110	Train Loss = 17.44015, Val Loss = 21.17148
2025-12-26-14-58-38	Epoch 111	Train Loss = 18.14118, Val Loss = 21.35461
2025-12-26-14-59-03	Epoch 112	Train Loss = 17.80777, Val Loss = 20.07644
2025-12-26-14-59-28	Epoch 113	Train Loss = 17.46700, Val Loss = 21.06469
2025-12-26-14-59-54	Epoch 114	Train Loss = 17.86752, Val Loss = 20.40380
2025-12-26-15-00-19	Epoch 115	Train Loss = 17.83216, Val Loss = 20.18835
2025-12-26-15-00-44	Epoch 116	Train Loss = 17.26829, Val Loss = 20.40026
2025-12-26-15-01-09	Epoch 117	Train Loss = 17.24133, Val Loss = 21.00869
2025-12-26-15-01-34	Epoch 118	Train Loss = 17.39809, Val Loss = 20.80760
2025-12-26-15-01-59	Epoch 119	Train Loss = 17.52822, Val Loss = 19.85394
2025-12-26-15-02-25	Epoch 120	Train Loss = 17.21801, Val Loss = 21.22016
2025-12-26-15-02-50	Epoch 121	Train Loss = 17.25314, Val Loss = 20.32073
2025-12-26-15-03-15	Epoch 122	Train Loss = 17.20441, Val Loss = 19.68708
2025-12-26-15-03-40	Epoch 123	Train Loss = 17.22141, Val Loss = 20.71262
2025-12-26-15-04-06	Epoch 124	Train Loss = 17.23442, Val Loss = 20.30585
2025-12-26-15-04-31	Epoch 125	Train Loss = 16.94945, Val Loss = 19.91973
2025-12-26-15-04-57	Epoch 126	Train Loss = 17.43460, Val Loss = 21.17982
2025-12-26-15-05-22	Epoch 127	Train Loss = 17.11522, Val Loss = 21.68345
2025-12-26-15-05-47	Epoch 128	Train Loss = 17.27297, Val Loss = 20.80943
2025-12-26-15-06-13	Epoch 129	Train Loss = 17.21940, Val Loss = 20.14346
2025-12-26-15-06-38	Epoch 130	Train Loss = 16.99069, Val Loss = 22.24924
2025-12-26-15-07-04	Epoch 131	Train Loss = 17.17617, Val Loss = 22.39095
2025-12-26-15-07-29	Epoch 132	Train Loss = 17.23355, Val Loss = 19.96601
2025-12-26-15-07-55	Epoch 133	Train Loss = 16.99508, Val Loss = 19.53754
2025-12-26-15-08-20	Epoch 134	Train Loss = 17.18196, Val Loss = 19.96036
2025-12-26-15-08-45	Epoch 135	Train Loss = 16.71753, Val Loss = 19.46580
2025-12-26-15-09-11	Epoch 136	Train Loss = 16.68487, Val Loss = 20.05126
2025-12-26-15-09-36	Epoch 137	Train Loss = 16.73165, Val Loss = 21.10721
2025-12-26-15-10-01	Epoch 138	Train Loss = 17.16392, Val Loss = 19.74097
2025-12-26-15-10-27	Epoch 139	Train Loss = 16.68274, Val Loss = 20.05799
2025-12-26-15-10-52	Epoch 140	Train Loss = 16.79315, Val Loss = 19.72294
2025-12-26-15-11-17	Epoch 141	Train Loss = 16.89708, Val Loss = 20.15714
2025-12-26-15-11-43	Epoch 142	Train Loss = 16.42504, Val Loss = 19.88808
2025-12-26-15-12-08	Epoch 143	Train Loss = 17.00212, Val Loss = 20.02582
2025-12-26-15-12-33	Epoch 144	Train Loss = 16.92758, Val Loss = 20.60683
2025-12-26-15-12-58	Epoch 145	Train Loss = 16.76470, Val Loss = 20.50524
2025-12-26-15-13-24	Epoch 146	Train Loss = 17.10910, Val Loss = 23.08793
2025-12-26-15-13-49	Epoch 147	Train Loss = 16.77470, Val Loss = 19.97347
2025-12-26-15-14-14	Epoch 148	Train Loss = 17.86973, Val Loss = 23.22297
2025-12-26-15-14-40	Epoch 149	Train Loss = 17.00263, Val Loss = 20.45051
2025-12-26-15-15-05	Epoch 150	Train Loss = 16.59391, Val Loss = 19.61415
2025-12-26-15-15-30	Epoch 151	Train Loss = 16.71865, Val Loss = 20.44166
2025-12-26-15-15-56	Epoch 152	Train Loss = 16.71277, Val Loss = 19.45158
2025-12-26-15-16-21	Epoch 153	Train Loss = 16.79468, Val Loss = 20.54817
2025-12-26-15-16-47	Epoch 154	Train Loss = 16.43216, Val Loss = 19.78455
2025-12-26-15-17-12	Epoch 155	Train Loss = 16.41839, Val Loss = 19.55517
2025-12-26-15-17-37	Epoch 156	Train Loss = 16.66117, Val Loss = 20.74114
2025-12-26-15-18-03	Epoch 157	Train Loss = 16.76955, Val Loss = 20.84884
2025-12-26-15-18-28	Epoch 158	Train Loss = 16.35264, Val Loss = 22.60457
2025-12-26-15-18-53	Epoch 159	Train Loss = 16.93312, Val Loss = 20.27787
2025-12-26-15-19-19	Epoch 160	Train Loss = 16.48929, Val Loss = 19.61235
2025-12-26-15-19-44	Epoch 161	Train Loss = 16.74576, Val Loss = 20.07643
2025-12-26-15-20-10	Epoch 162	Train Loss = 16.61470, Val Loss = 20.41838
2025-12-26-15-20-35	Epoch 163	Train Loss = 16.54805, Val Loss = 19.81944
2025-12-26-15-21-00	Epoch 164	Train Loss = 16.47853, Val Loss = 20.09457
2025-12-26-15-21-26	Epoch 165	Train Loss = 16.43755, Val Loss = 21.06397
2025-12-26-15-21-51	Epoch 166	Train Loss = 16.47344, Val Loss = 19.63438
2025-12-26-15-22-17	Epoch 167	Train Loss = 16.55586, Val Loss = 19.29192
2025-12-26-15-22-42	Epoch 168	Train Loss = 16.43147, Val Loss = 19.19080
2025-12-26-15-23-08	Epoch 169	Train Loss = 16.41850, Val Loss = 19.20009
2025-12-26-15-23-33	Epoch 170	Train Loss = 16.55118, Val Loss = 19.82914
2025-12-26-15-23-59	Epoch 171	Train Loss = 16.42321, Val Loss = 19.72038
2025-12-26-15-24-24	Epoch 172	Train Loss = 15.97583, Val Loss = 20.59012
2025-12-26-15-24-49	Epoch 173	Train Loss = 16.22374, Val Loss = 19.16637
2025-12-26-15-25-15	Epoch 174	Train Loss = 16.27916, Val Loss = 19.91138
2025-12-26-15-25-40	Epoch 175	Train Loss = 16.34105, Val Loss = 20.04120
2025-12-26-15-26-05	Epoch 176	Train Loss = 16.30623, Val Loss = 19.91162
2025-12-26-15-26-31	Epoch 177	Train Loss = 16.27233, Val Loss = 19.16149
2025-12-26-15-26-56	Epoch 178	Train Loss = 16.08330, Val Loss = 19.88400
2025-12-26-15-27-21	Epoch 179	Train Loss = 16.39135, Val Loss = 19.78666
2025-12-26-15-27-47	Epoch 180	Train Loss = 16.32260, Val Loss = 20.00446
2025-12-26-15-28-12	Epoch 181	Train Loss = 16.19202, Val Loss = 19.18588
2025-12-26-15-28-37	Epoch 182	Train Loss = 16.08494, Val Loss = 19.51910
2025-12-26-15-29-03	Epoch 183	Train Loss = 16.02302, Val Loss = 18.96658
2025-12-26-15-29-28	Epoch 184	Train Loss = 16.25157, Val Loss = 19.09606
2025-12-26-15-29-53	Epoch 185	Train Loss = 16.36319, Val Loss = 19.36740
2025-12-26-15-30-19	Epoch 186	Train Loss = 17.56092, Val Loss = 19.60551
2025-12-26-15-30-44	Epoch 187	Train Loss = 16.51961, Val Loss = 20.03169
2025-12-26-15-31-10	Epoch 188	Train Loss = 16.47033, Val Loss = 19.54766
2025-12-26-15-31-35	Epoch 189	Train Loss = 16.26530, Val Loss = 22.07107
2025-12-26-15-32-01	Epoch 190	Train Loss = 16.11433, Val Loss = 20.07095
2025-12-26-15-32-26	Epoch 191	Train Loss = 16.31567, Val Loss = 19.92146
2025-12-26-15-32-52	Epoch 192	Train Loss = 16.07469, Val Loss = 19.06243
2025-12-26-15-33-17	Epoch 193	Train Loss = 16.08947, Val Loss = 19.04245
2025-12-26-15-33-42	Epoch 194	Train Loss = 16.42179, Val Loss = 20.44917
2025-12-26-15-34-08	Epoch 195	Train Loss = 16.20933, Val Loss = 19.09133
2025-12-26-15-34-33	Epoch 196	Train Loss = 16.19322, Val Loss = 19.62685
