{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 2, 'K': 8, 'd': 16, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': True, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.1, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-26-09-52-12	Epoch 59	Train Loss = 21.19651, Val Loss = 22.10314
2025-12-26-09-53-00	Epoch 60	Train Loss = 19.95938, Val Loss = 23.67627
2025-12-26-09-53-47	Epoch 61	Train Loss = 19.80799, Val Loss = 22.99991
2025-12-26-09-54-35	Epoch 62	Train Loss = 20.55236, Val Loss = 23.06504
2025-12-26-09-55-22	Epoch 63	Train Loss = 20.22440, Val Loss = 29.40866
2025-12-26-09-56-10	Epoch 64	Train Loss = 19.91544, Val Loss = 21.43440
2025-12-26-09-56-58	Epoch 65	Train Loss = 19.84989, Val Loss = 23.80692
2025-12-26-09-57-46	Epoch 66	Train Loss = 19.95592, Val Loss = 23.97185
2025-12-26-09-58-34	Epoch 67	Train Loss = 19.86187, Val Loss = 22.06933
2025-12-26-09-59-22	Epoch 68	Train Loss = 19.21314, Val Loss = 21.96240
2025-12-26-10-00-10	Epoch 69	Train Loss = 19.98795, Val Loss = 22.10609
2025-12-26-10-00-58	Epoch 70	Train Loss = 18.62467, Val Loss = 22.22963
2025-12-26-10-01-46	Epoch 71	Train Loss = 18.95550, Val Loss = 21.04993
2025-12-26-10-02-33	Epoch 72	Train Loss = 19.33166, Val Loss = 23.87473
2025-12-26-10-03-21	Epoch 73	Train Loss = 19.00081, Val Loss = 23.46847
