{'gpu': {'device_ids': [0], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 32}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 1, 'K': 8, 'd': 64, 'embed_dim': 64, 'skip_dim': 256, 'lape_dim': 64}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.1, 'warmup_epochs': 50}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-26-22-06-37	Epoch 1	Train Loss = 158.79040, Val Loss = 107.66134
2025-12-26-22-08-23	Epoch 2	Train Loss = 87.33679, Val Loss = 58.39567
2025-12-26-22-10-08	Epoch 3	Train Loss = 58.44508, Val Loss = 54.09402
2025-12-26-22-11-54	Epoch 4	Train Loss = 52.62663, Val Loss = 81.37437
2025-12-26-22-13-39	Epoch 5	Train Loss = 43.60296, Val Loss = 40.31204
2025-12-26-22-15-24	Epoch 6	Train Loss = 42.31408, Val Loss = 55.18521
2025-12-26-22-17-10	Epoch 7	Train Loss = 32.60549, Val Loss = 37.61191
2025-12-26-22-18-55	Epoch 8	Train Loss = 33.06886, Val Loss = 48.60910
2025-12-26-22-20-41	Epoch 9	Train Loss = 37.74219, Val Loss = 29.26243
2025-12-26-22-22-26	Epoch 10	Train Loss = 31.52737, Val Loss = 36.56101
2025-12-26-22-24-12	Epoch 11	Train Loss = 32.86339, Val Loss = 33.66159
2025-12-26-22-25-57	Epoch 12	Train Loss = 32.78374, Val Loss = 44.31747
2025-12-26-22-27-43	Epoch 13	Train Loss = 32.93998, Val Loss = 30.79519
2025-12-26-22-29-28	Epoch 14	Train Loss = 30.66345, Val Loss = 28.67718
