{'gpu': {'device_ids': [0, 1, 2], 'distributed': True, 'main_device': 0}, 'data': {'traffic_file': 'data/PEMS08/PEMS08.npz', 'train_ratio': 0.6, 'val_ratio': 0.2, 'test_ratio': 0.2, 'batch_size': 64}, 'model': {'input_dim': 3, 'P': 12, 'Q': 12, 'T': 288, 'L': 2, 'K': 4, 'd': 32, 'embed_dim': 64, 'skip_dim': 256}, 'training': {'max_epoch': 1500, 'patience': 50, 'learning_rate': 0.001, 'clip_grad': 5, 'loss_func': 'masked_mae', 'use_temporal_weighting': False, 'temporal_weight_scheme': 'progressive', 'use_cosine_annealing': True, 'lr_decay': False, 'lr_decay_rate': 0.3, 'lr_decay_step': '5,20,40,70', 'step_size': 100, 'gamma': 0.9, 'weight_decay': 0.0001, 'dropout': 0.15, 'warmup_epochs': 15}, 'logging': {'log_dir': './logs', 'tensorboard_dir': './runLog/mpgat', 'verbose': 1}, 'saving': {'model_dir': './saved_models', 'save_best': True}, 'misc': {'seed': 42, 'time_slot': 5, 'use_amp': False}}
train	x: (10714, 12, 170, 3), y: (10714, 12, 170, 3)
eval	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
test	x: (3571, 12, 170, 3), y: (3571, 12, 170, 3)
2025-12-31-14-36-14	Epoch 59	Train Loss = 25.99139, Val Loss = 27.47733
2025-12-31-14-36-28	Epoch 60	Train Loss = 27.99386, Val Loss = 32.00090
2025-12-31-14-36-42	Epoch 61	Train Loss = 26.73284, Val Loss = 29.30054
2025-12-31-14-36-57	Epoch 62	Train Loss = 24.71488, Val Loss = 24.75049
2025-12-31-14-37-11	Epoch 63	Train Loss = 24.65342, Val Loss = 27.57775
2025-12-31-14-37-25	Epoch 64	Train Loss = 23.26109, Val Loss = 22.87478
2025-12-31-14-37-40	Epoch 65	Train Loss = 24.64583, Val Loss = 26.55877
2025-12-31-14-37-54	Epoch 66	Train Loss = 24.01254, Val Loss = 29.83598
2025-12-31-14-38-08	Epoch 67	Train Loss = 26.83768, Val Loss = 23.97994
2025-12-31-14-38-23	Epoch 68	Train Loss = 23.92777, Val Loss = 23.44546
2025-12-31-14-38-37	Epoch 69	Train Loss = 22.62668, Val Loss = 24.67402
2025-12-31-14-38-51	Epoch 70	Train Loss = 23.19746, Val Loss = 31.21829
2025-12-31-14-39-06	Epoch 71	Train Loss = 27.22644, Val Loss = 26.65212
2025-12-31-14-39-20	Epoch 72	Train Loss = 24.94062, Val Loss = 23.07726
2025-12-31-14-39-34	Epoch 73	Train Loss = 23.35103, Val Loss = 28.59412
2025-12-31-14-39-48	Epoch 74	Train Loss = 28.84753, Val Loss = 28.42193
2025-12-31-14-40-03	Epoch 75	Train Loss = 23.54477, Val Loss = 24.75405
2025-12-31-14-40-17	Epoch 76	Train Loss = 24.27307, Val Loss = 34.14086
2025-12-31-14-40-31	Epoch 77	Train Loss = 24.89775, Val Loss = 23.98985
2025-12-31-14-40-46	Epoch 78	Train Loss = 23.93880, Val Loss = 30.28992
2025-12-31-14-41-00	Epoch 79	Train Loss = 23.97485, Val Loss = 22.18700
2025-12-31-14-41-14	Epoch 80	Train Loss = 23.20050, Val Loss = 26.17986
2025-12-31-14-41-29	Epoch 81	Train Loss = 23.41654, Val Loss = 32.89411
2025-12-31-14-41-43	Epoch 82	Train Loss = 22.56676, Val Loss = 22.37664
2025-12-31-14-41-57	Epoch 83	Train Loss = 20.78101, Val Loss = 28.72527
2025-12-31-14-42-11	Epoch 84	Train Loss = 23.35458, Val Loss = 23.99976
2025-12-31-14-42-26	Epoch 85	Train Loss = 21.34616, Val Loss = 22.07226
2025-12-31-14-42-40	Epoch 86	Train Loss = 21.20474, Val Loss = 23.20303
2025-12-31-14-42-54	Epoch 87	Train Loss = 20.60267, Val Loss = 20.34022
2025-12-31-14-43-09	Epoch 88	Train Loss = 20.93516, Val Loss = 26.84141
2025-12-31-14-43-23	Epoch 89	Train Loss = 21.49586, Val Loss = 24.14206
2025-12-31-14-43-37	Epoch 90	Train Loss = 23.24175, Val Loss = 23.58319
2025-12-31-14-43-52	Epoch 91	Train Loss = 21.89253, Val Loss = 26.05037
2025-12-31-14-44-06	Epoch 92	Train Loss = 24.36253, Val Loss = 26.77666
2025-12-31-14-44-20	Epoch 93	Train Loss = 23.58931, Val Loss = 21.53422
2025-12-31-14-44-35	Epoch 94	Train Loss = 22.63366, Val Loss = 26.65487
2025-12-31-14-44-49	Epoch 95	Train Loss = 23.65269, Val Loss = 23.29151
2025-12-31-14-45-03	Epoch 96	Train Loss = 20.82715, Val Loss = 22.11026
2025-12-31-14-45-17	Epoch 97	Train Loss = 21.98229, Val Loss = 26.75088
2025-12-31-14-45-32	Epoch 98	Train Loss = 24.78973, Val Loss = 26.59365
2025-12-31-14-45-46	Epoch 99	Train Loss = 23.66965, Val Loss = 22.41437
2025-12-31-14-46-00	Epoch 100	Train Loss = 20.09698, Val Loss = 21.29222
2025-12-31-14-46-15	Epoch 101	Train Loss = 19.51127, Val Loss = 20.71437
2025-12-31-14-46-29	Epoch 102	Train Loss = 20.01029, Val Loss = 22.54028
2025-12-31-14-46-43	Epoch 103	Train Loss = 23.12293, Val Loss = 32.94069
2025-12-31-14-46-58	Epoch 104	Train Loss = 22.84209, Val Loss = 21.74450
2025-12-31-14-47-12	Epoch 105	Train Loss = 19.96973, Val Loss = 20.07949
2025-12-31-14-47-26	Epoch 106	Train Loss = 21.05077, Val Loss = 22.18844
2025-12-31-14-47-41	Epoch 107	Train Loss = 21.22273, Val Loss = 20.60877
2025-12-31-14-47-55	Epoch 108	Train Loss = 21.98890, Val Loss = 21.33938
2025-12-31-14-48-09	Epoch 109	Train Loss = 20.68351, Val Loss = 20.33680
2025-12-31-14-48-24	Epoch 110	Train Loss = 22.96265, Val Loss = 22.24302
2025-12-31-14-48-38	Epoch 111	Train Loss = 19.81447, Val Loss = 20.33397
2025-12-31-14-48-52	Epoch 112	Train Loss = 19.38659, Val Loss = 19.49266
2025-12-31-14-49-07	Epoch 113	Train Loss = 19.92862, Val Loss = 22.23734
2025-12-31-14-49-21	Epoch 114	Train Loss = 19.90001, Val Loss = 20.31480
2025-12-31-14-49-35	Epoch 115	Train Loss = 19.97039, Val Loss = 20.91783
2025-12-31-14-49-49	Epoch 116	Train Loss = 24.25516, Val Loss = 21.61333
2025-12-31-14-50-04	Epoch 117	Train Loss = 23.50941, Val Loss = 26.37546
2025-12-31-14-50-18	Epoch 118	Train Loss = 21.77208, Val Loss = 20.02395
2025-12-31-14-50-32	Epoch 119	Train Loss = 20.02299, Val Loss = 21.01606
2025-12-31-14-50-47	Epoch 120	Train Loss = 21.92345, Val Loss = 22.18505
2025-12-31-14-51-01	Epoch 121	Train Loss = 19.40563, Val Loss = 20.12115
2025-12-31-14-51-16	Epoch 122	Train Loss = 20.32624, Val Loss = 20.37418
2025-12-31-14-51-30	Epoch 123	Train Loss = 19.47387, Val Loss = 19.70395
2025-12-31-14-51-44	Epoch 124	Train Loss = 19.15108, Val Loss = 19.46560
2025-12-31-14-51-59	Epoch 125	Train Loss = 19.94839, Val Loss = 20.04042
2025-12-31-14-52-13	Epoch 126	Train Loss = 20.15483, Val Loss = 20.32466
2025-12-31-14-52-27	Epoch 127	Train Loss = 20.48343, Val Loss = 21.32816
2025-12-31-14-52-41	Epoch 128	Train Loss = 20.01432, Val Loss = 20.37221
2025-12-31-14-52-56	Epoch 129	Train Loss = 22.32023, Val Loss = 22.15881
2025-12-31-14-53-10	Epoch 130	Train Loss = 20.46783, Val Loss = 23.33686
2025-12-31-14-53-24	Epoch 131	Train Loss = 20.63883, Val Loss = 19.84559
2025-12-31-14-53-39	Epoch 132	Train Loss = 20.03749, Val Loss = 21.05514
2025-12-31-14-53-53	Epoch 133	Train Loss = 23.32711, Val Loss = 23.11264
2025-12-31-14-54-07	Epoch 134	Train Loss = 20.84246, Val Loss = 23.00180
2025-12-31-14-54-22	Epoch 135	Train Loss = 21.47597, Val Loss = 21.21833
2025-12-31-14-54-36	Epoch 136	Train Loss = 20.21197, Val Loss = 25.89065
2025-12-31-14-54-50	Epoch 137	Train Loss = 21.26312, Val Loss = 21.56856
2025-12-31-14-55-04	Epoch 138	Train Loss = 19.24921, Val Loss = 19.58221
